0 1 2 3 4 5 6 7 8 9 10 11 12 13
TG0 13 8 7.77 -23 13 20.2 P 8 19.42 0 0.0 0.0 Program
TG1 13 11 20.45 -24 26 13.7 P 8 18.5 0 0.0 0.0 Program
TG2 13 10 49.96 -23 23 5.2 P 8 19.74 0 0.0 0.0 Program
TG3 13 10 58.76 -23 53 9.6 P 8 19.39 0 0.0 0.0 Program
TG4 13 6 59.44 -23 20 53.7 P 8 18.16 0 0.0 0.0 Program
TG5 13 10 6.44 -23 29 43.9 P 8 17.79 0 0.0 0.0 Program
TG6 13 9 14.25 -24 55 28.8 P 8 19.28 0 0.0 0.0 Program
TG7 13 8 2.82 -23 25 50.0 P 8 19.78 0 0.0 0.0 Program
TG8 13 8 22.92 -23 33 1.7 P 8 18.3 0 0.0 0.0 Program
TG9 13 11 47.57 -23 52 50.3 P 8 19.83 0 0.0 0.0 Program
TG10 13 5 11.86 -24 13 6.2 P 8 19.99 0 0.0 0.0 Program
TG11 13 7 30.26 -23 12 46.1 P 8 19.39 0 0.0 0.0 Program
TG12 13 6 12.76 -24 4 40.8 P 8 18.91 0 0.0 0.0 Program
TG13 13 4 13.97 -23 25 30.9 P 8 19.22 0 0.0 0.0 Program
TG14 13 6 1.84 -23 14 18.1 P 8 19.68 0 0.0 0.0 Program
TG15 13 6 14.58 -24 28 5.1 P 8 18.82 0 0.0 0.0 Program
TG16 13 6 27.07 -23 14 52.4 P 8 19.62 0 0.0 0.0 Program
TG17 13 8 51.8 -23 54 57.8 P 8 19.26 0 0.0 0.0 Program
TG18 13 6 49.4 -23 21 57.9 P 8 18.92 0 0.0 0.0 Program
TG19 13 4 8.55 -23 32 34.0 P 8 19.86 0 0.0 0.0 Program
TG20 13 5 19.96 -24 44 37.9 P 8 18.97 0 0.0 0.0 Program
TG21 13 10 33.7 -23 25 10.5 P 8 19.39 0 0.0 0.0 Program
TG22 13 10 31.12 -23 52 44.6 P 8 19.82 0 0.0 0.0 Program
TG23 13 5 29.25 -24 44 20.4 P 8 19.13 0 0.0 0.0 Program
TG24 13 9 3.95 -24 29 31.2 P 8 19.93 0 0.0 0.0 Program
TG25 13 6 47.62 -23 6 38.0 P 8 19.77 0 0.0 0.0 Program
TG26 13 7 21.54 -23 7 23.8 P 8 19.81 0 0.0 0.0 Program
TG27 13 4 16.81 -23 49 24.8 P 8 19.59 0 0.0 0.0 Program
TG28 13 7 41.06 -23 1 51.0 P 8 19.0 0 0.0 0.0 Program
TG29 13 6 24.79 -23 6 20.5 P 8 19.76 0 0.0 0.0 Program
TG30 13 4 23.47 -23 32 55.1 P 8 19.82 0 0.0 0.0 Program
TG31 13 4 14.87 -23 37 31.1 P 8 18.98 0 0.0 0.0 Program
TG32 13 6 58.75 -23 25 28.5 P 8 17.57 0 0.0 0.0 Program
TG33 13 7 33.38 -24 55 4.0 P 8 19.92 0 0.0 0.0 Program
TG34 13 11 11.84 -24 2 47.7 P 8 18.36 0 0.0 0.0 Program
TG35 13 10 29.15 -24 30 56.8 P 8 19.88 0 0.0 0.0 Program
TG36 13 7 5.74 -23 2 56.1 P 8 17.91 0 0.0 0.0 Program
TG37 13 5 33.93 -24 15 10.4 P 8 19.71 0 0.0 0.0 Program
TG38 13 8 48.15 -23 52 54.6 P 8 19.7 0 0.0 0.0 Program
TG39 13 6 12.04 -23 5 30.6 P 8 19.76 0 0.0 0.0 Program
TG40 13 3 37.35 -23 58 15.2 P 8 19.76 0 0.0 0.0 Program
TG41 13 7 23.02 -23 47 56.3 P 8 19.77 0 0.0 0.0 Program
TG42 13 7 38.14 -23 14 12.9 P 8 19.68 0 0.0 0.0 Program
TG43 13 8 46.4 -24 7 3.9 P 8 19.45 0 0.0 0.0 Program
TG44 13 8 4.18 -24 1 53.9 P 8 19.75 0 0.0 0.0 Program
TG45 13 10 56.83 -23 57 23.5 P 8 18.6 0 0.0 0.0 Program
TG46 13 8 22.57 -23 33 12.3 P 8 18.43 0 0.0 0.0 Program
TG47 13 4 4.35 -23 37 21.2 P 8 19.37 0 0.0 0.0 Program
TG48 13 8 2.93 -24 12 4.4 P 8 19.59 0 0.0 0.0 Program
TG49 13 9 51.02 -24 15 5.8 P 8 19.69 0 0.0 0.0 Program
TG50 13 7 2.94 -23 51 12.5 P 8 18.46 0 0.0 0.0 Program
TG51 13 4 8.0 -24 32 41.5 P 8 19.8 0 0.0 0.0 Program
TG52 13 6 42.48 -23 22 27.3 P 8 19.95 0 0.0 0.0 Program
TG53 13 5 20.54 -24 35 7.5 P 8 19.72 0 0.0 0.0 Program
TG54 13 4 34.83 -24 20 12.9 P 8 20.0 0 0.0 0.0 Program
TG55 13 4 54.15 -24 27 55.4 P 8 19.95 0 0.0 0.0 Program
TG56 13 8 51.53 -24 8 17.2 P 8 17.9 0 0.0 0.0 Program
TG57 13 6 42.75 -24 52 29.8 P 8 19.75 0 0.0 0.0 Program
TG58 13 8 34.65 -23 30 36.9 P 8 19.12 0 0.0 0.0 Program
TG59 13 8 39.6 -23 28 38.4 P 8 16.94 0 0.0 0.0 Program
TG60 13 5 46.54 -24 53 15.2 P 8 19.41 0 0.0 0.0 Program
TG61 13 8 29.0 -23 31 33.0 P 8 19.0 0 0.0 0.0 Program
TG62 13 7 39.23 -24 18 55.6 P 8 18.93 0 0.0 0.0 Program
TG63 13 8 27.16 -24 54 34.5 P 8 19.43 0 0.0 0.0 Program
TG64 13 8 10.97 -24 56 56.6 P 8 19.99 0 0.0 0.0 Program
TG65 13 4 8.14 -23 32 32.5 P 8 19.32 0 0.0 0.0 Program
TG66 13 3 30.37 -24 15 44.7 P 8 18.96 0 0.0 0.0 Program
TG67 13 6 51.26 -23 44 49.6 P 8 19.17 0 0.0 0.0 Program
TG68 13 9 14.93 -23 8 28.0 P 8 19.28 0 0.0 0.0 Program
TG69 13 6 55.52 -24 56 42.7 P 8 18.65 0 0.0 0.0 Program
TG70 13 8 7.08 -24 30 9.0 P 8 19.65 0 0.0 0.0 Program
TG71 13 3 56.2 -23 46 7.4 P 8 19.64 0 0.0 0.0 Program
TG72 13 8 41.76 -23 4 1.6 P 8 19.44 0 0.0 0.0 Program
TG73 13 4 12.5 -23 46 35.0 P 8 17.71 0 0.0 0.0 Program
TG74 13 3 31.42 -24 17 7.0 P 8 19.57 0 0.0 0.0 Program
TG75 13 9 1.58 -24 24 18.7 P 8 19.01 0 0.0 0.0 Program
TG76 13 9 10.73 -24 31 8.4 P 8 19.29 0 0.0 0.0 Program
TG77 13 6 53.12 -23 56 56.2 P 8 19.95 0 0.0 0.0 Program
TG78 13 4 55.13 -24 38 31.0 P 8 18.5 0 0.0 0.0 Program
TG79 13 9 42.79 -24 45 19.6 P 8 17.61 0 0.0 0.0 Program
TG80 13 5 21.5 -24 46 46.9 P 8 19.54 0 0.0 0.0 Program
TG81 13 8 17.27 -23 14 22.7 P 8 19.53 0 0.0 0.0 Program
TG82 13 4 48.37 -24 38 37.8 P 8 19.93 0 0.0 0.0 Program
TG83 13 8 17.94 -23 2 20.4 P 8 19.67 0 0.0 0.0 Program
TG84 13 3 43.39 -24 0 41.8 P 8 19.42 0 0.0 0.0 Program
TG85 13 4 31.56 -24 12 37.1 P 8 19.67 0 0.0 0.0 Program
TG86 13 3 16.09 -24 3 48.6 P 8 19.54 0 0.0 0.0 Program
TG87 13 7 20.32 -24 58 33.5 P 8 19.79 0 0.0 0.0 Program
TG88 13 9 15.05 -24 55 13.9 P 8 19.28 0 0.0 0.0 Program
TG89 13 9 1.68 -24 32 4.0 P 8 19.72 0 0.0 0.0 Program
TG90 13 5 57.85 -23 22 2.5 P 8 19.59 0 0.0 0.0 Program
TG91 13 8 18.59 -23 4 55.2 P 8 19.07 0 0.0 0.0 Program
TG92 13 8 11.58 -24 15 37.8 P 8 19.38 0 0.0 0.0 Program
TG93 13 7 37.81 -24 27 21.8 P 8 19.73 0 0.0 0.0 Program
TG94 13 5 52.97 -23 28 20.9 P 8 18.75 0 0.0 0.0 Program
TG95 13 7 10.19 -24 26 47.2 P 8 18.63 0 0.0 0.0 Program
TG96 13 9 26.53 -23 34 9.2 P 8 18.92 0 0.0 0.0 Program
