_RAJ2000	_DEJ2000	Label	Plan	RA (ICRS)	DE (ICRS)	X	Y
----------	----------	---------------	----------	-------------	-------------	--------	--------
318.89202902818306	5.1504895906508485	Tag 0	CDS/P/2MASS/color	21:15:34.08697	+05:09:01.7625	 	 
319.0754495336169	5.039901720581191	Tag 1	CDS/P/2MASS/color	21:16:18.10789	+05:02:23.6462	 	 
319.2028625672729	4.912851961764077	Tag 2	CDS/P/2MASS/color	21:16:48.68702	+04:54:46.2671	 	 
319.2835073140685	4.83971388411371	Tag 3	CDS/P/2MASS/color	21:17:08.04176	+04:50:22.9700	 	 
319.3933813436111	4.752664441040467	Tag 4	CDS/P/2MASS/color	21:17:34.41152	+04:45:09.5920	 	 
319.3338263157253	4.918435767805803	Tag 8	CDS/P/2MASS/color	21:17:20.11832	+04:55:06.3688	 	 
319.1733365729913	5.021665268916169	Tag 9	CDS/P/2MASS/color	21:16:41.60078	+05:01:17.9950	 	 
318.9550566658017	5.028900727359647	Tag 10	CDS/P/2MASS/color	21:15:49.21360	+05:01:44.0426	 	 
317.79331974165945	4.6938146779393435	Tag 43	CDS/P/2MASS/color	21:11:10.39674	+04:41:37.7328	 	 
317.76174844262	4.465556325596205	Tag 44	CDS/P/2MASS/color	21:11:02.81963	+04:27:56.0028	 	 
318.0522220786165	4.334766415781999	Tag 47	CDS/P/2MASS/color	21:12:12.53330	+04:20:05.1591	 	 
317.92261349859047	4.750983003802676	Tag 48	CDS/P/2MASS/color	21:11:41.42724	+04:45:03.5388	 	 
317.89491755606	4.898887634277132	Tag 49	CDS/P/2MASS/color	21:11:34.78021	+04:53:55.9955	 	 
318.331906341347	5.191103027827341	Tag 50	CDS/P/2MASS/color	21:13:19.65752	+05:11:27.9709	 	 
318.60451531983654	5.1725040361957495	Tag 51	CDS/P/2MASS/color	21:14:25.08368	+05:10:21.0145	 	 
318.74532589580934	5.178013598471574	Tag 52	CDS/P/2MASS/color	21:14:58.87821	+05:10:40.8490	 	 
318.82297004326705	5.052262494403708	Tag 53	CDS/P/2MASS/color	21:15:17.51281	+05:03:08.1450	 	 
318.6461136316918	4.911373048148064	Tag 54	CDS/P/2MASS/color	21:14:35.06727	+04:54:40.9430	 	 
318.31747970533957	4.862958780458627	Tag 55	CDS/P/2MASS/color	21:13:16.19513	+04:51:46.6516	 	 
318.37495952546453	5.0571003308628315	Tag 56	CDS/P/2MASS/color	21:13:29.99029	+05:03:25.5612	 	 
318.02566253287597	4.950701847302316	Tag 57	CDS/P/2MASS/color	21:12:06.15901	+04:57:02.5267	 	 
318.0752953088652	5.060998121161376	Tag 58	CDS/P/2MASS/color	21:12:18.07087	+05:03:39.5932	 	 
318.856409752061	4.77992187809115	Tag 59	CDS/P/2MASS/color	21:15:25.53834	+04:46:47.7188	 	 
318.0771686589531	4.7158529113681285	Tag 60	CDS/P/2MASS/color	21:12:18.52048	+04:42:57.0705	 	 
318.6730406422327	4.161463891130971	Tag 75	CDS/P/2MASS/color	21:14:41.52975	+04:09:41.2700	 	 
318.43669937858255	4.191586705466986	Tag 76	CDS/P/2MASS/color	21:13:44.80785	+04:11:29.7121	 	 
318.1000279496316	4.6073735135334895	Tag 79	CDS/P/2MASS/color	21:12:24.00671	+04:36:26.5446	 	 
318.22731172976904	4.596586832784885	Tag 80	CDS/P/2MASS/color	21:12:54.55482	+04:35:47.7126	 	 
318.46367031065313	4.631728500784759	Tag 81	CDS/P/2MASS/color	21:13:51.28087	+04:37:54.2226	 	 
318.85278384652963	4.618437173469823	Tag 82	CDS/P/2MASS/color	21:15:24.66812	+04:37:06.3738	 	 
319.0891481780535	4.6002101328069855	Tag 83	CDS/P/2MASS/color	21:16:21.39556	+04:36:00.7565	 	 
319.1559479216543	4.78502789542253	Tag 84	CDS/P/2MASS/color	21:16:37.42750	+04:47:06.1004	 	 
318.7898087818717	4.922929577011606	Tag 85	CDS/P/2MASS/color	21:15:09.55411	+04:55:22.5465	 	 
318.9654335366808	4.423870356014625	Tag 86	CDS/P/2MASS/color	21:15:51.70405	+04:25:25.9333	 	 
318.969009694996	4.2825040221047095	Tag 87	CDS/P/2MASS/color	21:15:52.56233	+04:16:57.0145	 	 
318.719424309309	4.390102876625735	Tag 88	CDS/P/2MASS/color	21:14:52.66183	+04:23:24.3704	 	 
318.47223227794484	4.330877769500399	Tag 89	CDS/P/2MASS/color	21:13:53.33575	+04:19:51.1600	 	 
318.3667614002619	4.464958207223241	Tag 90	CDS/P/2MASS/color	21:13:28.02274	+04:27:53.8495	 	 
318.1983994674362	4.311423497875972	Tag 91	CDS/P/2MASS/color	21:12:47.61587	+04:18:41.1246	 	 
318.68588593101714	4.541014597996241	Tag 92	CDS/P/2MASS/color	21:14:44.61262	+04:32:27.6526	 	 
318.5849333078048	4.798750024185962	Tag 93	CDS/P/2MASS/color	21:14:20.38399	+04:47:55.5001	 	 
318.293426750892	4.9779231082785165	Tag 94	CDS/P/2MASS/color	21:13:10.42242	+04:58:40.5232	 	 
318.516885581657	5.056838447760986	Tag 95	CDS/P/2MASS/color	21:14:04.05254	+05:03:24.6184	 	 
319.24199186922334	4.598471548606776	Tag 96	CDS/P/2MASS/color	21:16:58.07805	+04:35:54.4976	 	 
319.0647979426533	5.178404245653342	Tag 97	CDS/P/2MASS/color	21:16:15.55151	+05:10:42.2553	 	 
319.2043117257964	5.219512727928438	Tag 98	CDS/P/2MASS/color	21:16:49.03481	+05:13:10.2458	 	 
319.06231144642527	5.365681309016409	Tag 99	CDS/P/2MASS/color	21:16:14.95475	+05:21:56.4527	 	 
319.110817231165	5.513100848178583	Tag 100	CDS/P/2MASS/color	21:16:26.59614	+05:30:47.1631	 	 
319.2746800808144	5.139771096214587	Tag 101	CDS/P/2MASS/color	21:17:05.92322	+05:08:23.1759	 	 
318.77957417543223	5.33653037086905	Tag 102	CDS/P/2MASS/color	21:15:07.09780	+05:20:11.5093	 	 
318.561178555666	5.304911028520017	Tag 103	CDS/P/2MASS/color	21:14:14.68285	+05:18:17.6797	 	 
317.66064083555096	4.958847108653463	Tag 104	CDS/P/2MASS/color	21:10:38.55380	+04:57:31.8496	 	 
317.62572608555826	5.128764959088287	Tag 105	CDS/P/2MASS/color	21:10:30.17426	+05:07:43.5539	 	 
317.7550511341408	5.185446866885461	Tag 106	CDS/P/2MASS/color	21:11:01.21227	+05:11:07.6087	 	 
317.9678805016426	5.1982441574253	Tag 107	CDS/P/2MASS/color	21:11:52.29132	+05:11:53.6790	 	 
318.12936866607396	5.273118316557202	Tag 108	CDS/P/2MASS/color	21:12:31.04848	+05:16:23.2259	 	 
317.6210429325453	5.361732801143388	Tag 109	CDS/P/2MASS/color	21:10:29.05030	+05:21:42.2381	 	 
317.7343879831388	5.40372040085333	Tag 110	CDS/P/2MASS/color	21:10:56.25312	+05:24:13.3934	 	 
317.60763319571913	5.507004530061007	Tag 111	CDS/P/2MASS/color	21:10:25.83197	+05:30:25.2163	 	 
317.6842494306308	5.604345966475343	Tag 112	CDS/P/2MASS/color	21:10:44.21986	+05:36:15.6455	 	 
317.81945700952184	5.5671245535363525	Tag 113	CDS/P/2MASS/color	21:11:16.66968	+05:34:01.6484	 	 
