UCAC4 RA DEC MAG_R Vmag pmRA pmDE
325-001029 13.5183295 -25.13825 12.159 12.295 9.4 1.2
325-000919 12.084308 -25.1661339 12.815 12.996 7.4 1.2
327-000868 12.3650286 -24.6504909 12.505 12.789 3.8 -3.9
323-000911 12.8202733 -25.4080828 12.229 12.566 10.4 -4.0
321-000939 13.5882292 -25.8323584 12.059 12.311 24.5 -11.3
325-000965 12.61437 -25.0345789 11.779 11.877 7.2 -4.9
321-000883 12.7598039 -25.9337425 12.174 12.304 7.4 -16.8
321-000856 12.3037515 -25.8900806 12.711 12.861 9.2 -2.2
325-001013 13.3783324 -25.1085309 12.585 12.802 -13.3 -0.9
324-001041 13.0020406 -25.3695967 11.188 11.493 0.3 -11.0
327-000924 13.1568609 -24.6644787 12.608 12.841 -4.2 -17.0
327-000964 13.7286353 -24.6136012 11.573 11.703 -21.6 -20.9
322-000921 12.6489662 -25.7329273 11.822 12.002 8.3 -7.2
323-000889 12.4709056 -25.5471203 12.714 12.842 13.6 -12.6
325-001031 13.55418 -25.0760481 12.694 12.904 1.5 -8.8
324-001064 13.2802012 -25.2633442 12.139 12.255 -6.6 -9.8
321-000945 13.7001424 -25.9262375 11.87 12.024 -12.5 -7.0
322-000963 13.4033533 -25.7271606 12.367 12.601 -10.3 -7.6
324-001007 12.565565 -25.244515 11.593 11.894 17.7 1.0
325-001054 13.8548421 -25.0960173 12.611 12.797 24.4 -0.3
325-000976 12.9139515 -25.0156206 12.261 12.43 12.7 -3.3
324-001027 12.8067171 -25.3965856 12.156 12.437 -5.8 -14.8
323-000919 12.9130698 -25.4647645 11.504 11.977 -1.1 -8.2
325-001009 13.3301424 -25.1938567 12.02 12.172 -12.0 -15.5
322-000941 12.9921289 -25.6196845 12.852 12.988 5.9 4.4
328-000975 12.5942474 -24.5896306 12.566 12.698 16.4 4.4
325-000999 13.1832359 -25.1889175 11.939 12.284 6.9 1.2
321-000886 12.7805709 -25.8483534 11.539 11.614 15.6 -2.5
320-000915 12.978073 -26.0505556 12.431 12.571 6.7 -7.2
