_RAJ2000	_DEJ2000	Label	Plan	RA (ICRS)	DE (ICRS)	X	Y
----------	----------	---------------	----------	-------------	-------------	--------	--------
195.6997213229077	-23.550562132919666	Tag 0	CDS/P/2MASS/color	13:02:47.93312	-23:33:02.0237	 	 
195.94834628379755	-23.5608738282259	Tag 1	CDS/P/2MASS/color	13:03:47.60311	-23:33:39.1458	 	 
196.07389393336442	-23.58554655472493	Tag 2	CDS/P/2MASS/color	13:04:17.73454	-23:35:07.9676	 	 
196.08181080645943	-23.629158865770226	Tag 3	CDS/P/2MASS/color	13:04:19.63459	-23:37:44.9719	 	 
195.82466819336182	-23.593459229456954	Tag 4	CDS/P/2MASS/color	13:03:17.92037	-23:35:36.4532	 	 
195.81800115320462	-23.508963318727485	Tag 5	CDS/P/2MASS/color	13:03:16.32028	-23:30:32.2679	 	 
195.84374437494566	-23.644647589912527	Tag 6	CDS/P/2MASS/color	13:03:22.49865	-23:38:40.7313	 	 
195.828343105774	-23.678296192356015	Tag 7	CDS/P/2MASS/color	13:03:18.80235	-23:40:41.8663	 	 
195.81424270388436	-23.417603793317944	Tag 8	CDS/P/2MASS/color	13:03:15.41825	-23:25:03.3737	 	 
195.7522870704729	-23.357986597471907	Tag 9	CDS/P/2MASS/color	13:03:00.54890	-23:21:28.7518	 	 
195.82229171356641	-23.33925725622835	Tag 10	CDS/P/2MASS/color	13:03:17.35001	-23:20:21.3261	 	 
195.9497271275247	-23.339837062101964	Tag 11	CDS/P/2MASS/color	13:03:47.93451	-23:20:23.4134	 	 
196.08228919876294	-23.346055442560694	Tag 12	CDS/P/2MASS/color	13:04:19.74941	-23:20:45.7996	 	 
196.1851912804665	-23.302061537066646	Tag 13	CDS/P/2MASS/color	13:04:44.44591	-23:18:07.4215	 	 
196.20235223885894	-23.35531617255797	Tag 14	CDS/P/2MASS/color	13:04:48.56454	-23:21:19.1382	 	 
196.24059668816167	-23.41271115761131	Tag 15	CDS/P/2MASS/color	13:04:57.74321	-23:24:45.7602	 	 
196.1802687333242	-23.418554416124795	Tag 16	CDS/P/2MASS/color	13:04:43.26450	-23:25:06.7959	 	 
196.20947116841648	-23.507833416462436	Tag 17	CDS/P/2MASS/color	13:04:50.27308	-23:30:28.2003	 	 
196.11033427189736	-23.490201253643846	Tag 18	CDS/P/2MASS/color	13:04:26.48023	-23:29:24.7245	 	 
195.9474405377334	-23.493932381782248	Tag 19	CDS/P/2MASS/color	13:03:47.38573	-23:29:38.1566	 	 
195.70773898233548	-23.44672314041323	Tag 20	CDS/P/2MASS/color	13:02:49.85736	-23:26:48.2033	 	 
195.73858319107546	-23.38722019836484	Tag 21	CDS/P/2MASS/color	13:02:57.25997	-23:23:13.9927	 	 
195.4346000745519	-23.60401601413393	Tag 22	CDS/P/2MASS/color	13:01:44.30402	-23:36:14.4577	 	 
195.5709768417858	-23.68029479171723	Tag 23	CDS/P/2MASS/color	13:02:17.03444	-23:40:49.0613	 	 
195.56855244487934	-23.752063761180235	Tag 24	CDS/P/2MASS/color	13:02:16.45259	-23:45:07.4295	 	 
195.47724242816338	-23.772536253166077	Tag 25	CDS/P/2MASS/color	13:01:54.53818	-23:46:21.1305	 	 
195.7035625446346	-23.767361431522914	Tag 26	CDS/P/2MASS/color	13:02:48.85501	-23:46:02.5012	 	 
195.69744261015893	-23.674254605976035	Tag 27	CDS/P/2MASS/color	13:02:47.38623	-23:40:27.3166	 	 
195.73201486671815	-23.60243230658422	Tag 28	CDS/P/2MASS/color	13:02:55.68357	-23:36:08.7563	 	 
195.55749475237775	-23.54857820808637	Tag 29	CDS/P/2MASS/color	13:02:13.79874	-23:32:54.8815	 	 
195.26581907413004	-23.944978779570096	Tag 30	CDS/P/2MASS/color	13:01:03.79658	-23:56:41.9236	 	 
195.23954829678	-23.770551811572755	Tag 31	CDS/P/2MASS/color	13:00:57.49159	-23:46:13.9865	 	 
195.46120170027476	-23.881942117945453	Tag 32	CDS/P/2MASS/color	13:01:50.68841	-23:52:54.9916	 	 
195.31529312646026	-23.836786020460508	Tag 33	CDS/P/2MASS/color	13:01:15.67035	-23:50:12.4297	 	 
195.47395254403682	-24.014315277253903	Tag 34	CDS/P/2MASS/color	13:01:53.74861	-24:00:51.5350	 	 
195.23816162608745	-24.01325052579913	Tag 35	CDS/P/2MASS/color	13:00:57.15879	-24:00:47.7019	 	 
195.19199072096876	-24.13402998877884	Tag 36	CDS/P/2MASS/color	13:00:46.07777	-24:08:02.5080	 	 
195.43263071874478	-24.1771892733611	Tag 37	CDS/P/2MASS/color	13:01:43.83137	-24:10:37.8814	 	 
195.50170604905134	-24.154029329114326	Tag 38	CDS/P/2MASS/color	13:02:00.40945	-24:09:14.5056	 	 
195.48090768624746	-24.074197118630224	Tag 39	CDS/P/2MASS/color	13:01:55.41784	-24:04:27.1096	 	 
195.4557184077837	-24.25387479535118	Tag 40	CDS/P/2MASS/color	13:01:49.37242	-24:15:13.9493	 	 
195.50191318077972	-24.34734863460644	Tag 41	CDS/P/2MASS/color	13:02:00.45916	-24:20:50.4551	 	 
195.24595749260556	-24.28747594740716	Tag 42	CDS/P/2MASS/color	13:00:59.02980	-24:17:14.9134	 	 
195.2137591536153	-24.223358051689956	Tag 43	CDS/P/2MASS/color	13:00:51.30220	-24:13:24.0890	 	 
196.03374308754144	-23.905247351558465	Tag 44	CDS/P/2MASS/color	13:04:08.09834	-23:54:18.8905	 	 
195.92289928973034	-23.798811389408908	Tag 45	CDS/P/2MASS/color	13:03:41.49583	-23:47:55.7210	 	 
195.8130304867019	-23.906157415122724	Tag 46	CDS/P/2MASS/color	13:03:15.12732	-23:54:22.1667	 	 
195.78635843620538	-23.995510308398654	Tag 47	CDS/P/2MASS/color	13:03:08.72602	-23:59:43.8371	 	 
195.64347871358	-24.007207256721333	Tag 48	CDS/P/2MASS/color	13:02:34.43489	-24:00:25.9461	 	 
195.62027009594473	-23.856100939048915	Tag 49	CDS/P/2MASS/color	13:02:28.86482	-23:51:21.9634	 	 
195.83147390143753	-23.863233951299936	Tag 50	CDS/P/2MASS/color	13:03:19.55374	-23:51:47.6422	 	 
196.20904527736303	-23.89223713819098	Tag 51	CDS/P/2MASS/color	13:04:50.17087	-23:53:32.0537	 	 
196.28732214262087	-23.897924337087602	Tag 52	CDS/P/2MASS/color	13:05:08.95731	-23:53:52.5276	 	 
196.33911701429366	-23.774587209309416	Tag 53	CDS/P/2MASS/color	13:05:21.38808	-23:46:28.5140	 	 
196.19185150531172	-23.774191914509988	Tag 54	CDS/P/2MASS/color	13:04:46.04436	-23:46:27.0909	 	 
195.99493265588748	-23.769441204198348	Tag 55	CDS/P/2MASS/color	13:03:58.78384	-23:46:09.9883	 	 
196.07931527710144	-23.994106883962814	Tag 56	CDS/P/2MASS/color	13:04:19.03567	-23:59:38.7848	 	 
196.36037148373626	-23.58432531069571	Tag 57	CDS/P/2MASS/color	13:05:26.48916	-23:35:03.5711	 	 
196.1914577073141	-23.611001640022046	Tag 58	CDS/P/2MASS/color	13:04:45.94985	-23:36:39.6059	 	 
196.27755443658776	-23.531024944294856	Tag 59	CDS/P/2MASS/color	13:05:06.61306	-23:31:51.6898	 	 
196.3905910450129	-23.515271646826072	Tag 60	CDS/P/2MASS/color	13:05:33.74185	-23:30:54.9779	 	 
196.55860674142642	-23.55469794529233	Tag 61	CDS/P/2MASS/color	13:06:14.06562	-23:33:16.9126	 	 
196.5819886651494	-23.59752119014435	Tag 62	CDS/P/2MASS/color	13:06:19.67728	-23:35:51.0763	 	 
196.72007246847565	-23.681685214324848	Tag 63	CDS/P/2MASS/color	13:06:52.81739	-23:40:54.0668	 	 
