RA DEC MAG_R MAG_G MAG_Z FLUX_R FLUX_G FLUX_Z FIBERFLUX_G FIBERFLUX_R FIBERFLUX_Z MW_TRANSMISSION_G MW_TRANSMISSION_R MW_TRANSMISSION_Z FLUX_IVAR_G FLUX_IVAR_R FLUX_IVAR_Z GAIA_PHOT_G_MEAN_MAG GAIA_PHOT_G_MEAN_MAG_1 MASKBITS FRACMASKED_G FRACMASKED_R FRACMASKED_Z FRACFLUX_G FRACFLUX_R FRACFLUX_Z FRACIN_G FRACIN_R FRACIN_Z NOBS_G NOBS_R NOBS_Z PROB LOCAL SEP
197.1650101751305 -23.47733263603516 16.93969 17.684303 16.337095 167.54214 84.38764 291.85132 7.5155873 14.92135 25.99236 0.7073036 0.7919398 0.8776738 307.94797 162.95665 67.9257 0.0 0.0 0 0.0022123435 0.0017303912 0.0038625915 0.013869779 0.008694525 0.0037740138 0.99369836 1.0 0.97674453 19 20 42 0.5097257081770386 True 0.5874250751386844
197.4286347427961 -23.9349920334917 17.009357 17.824472 16.354687 157.12915 74.16707 287.16107 5.767831 12.219633 22.331966 0.6638339 0.758816 0.85694695 181.21687 88.80894 34.27065 0.0 0.0 0 0.010124648 0.009930856 0.011759718 0.020012429 0.013072432 0.008670154 0.9996543 0.99963945 0.999643 18 20 42 0.438881666160743 True 0.4969324929418047
197.1035126999855 -23.25867070742902 17.06935 17.943798 16.39725 148.68256 66.44788 276.12146 6.594342 14.755378 27.402517 0.6756973 0.76792437 0.8626855 260.18085 129.169 54.679947 0.0 0.0 0 0.010611723 0.0120349 0.014309429 0.021290079 0.013543896 0.007263687 0.9999896 0.9999977 0.9999894 19 20 44 0.5455930879928259 True 0.7747361051703586
197.6508187684847 -23.6386603596133 17.120611 17.762419 16.687891 141.82578 78.529495 211.27292 1.2546537 2.2659285 3.375475 0.671021 0.7643403 0.860431 26.735353 13.686608 4.4974318 0.0 0.0 0 0.1518545 0.14307624 0.12486167 0.13524505 0.1018694 0.09556308 0.83815897 0.83794487 0.8326835 17 20 41 0.3911876487223324 True 0.7868080993445715
196.4131398465183 -23.26742943568656 17.120827 17.939764 16.498041 141.79778 66.69513 251.64215 7.7310433 16.436655 29.169394 0.64841324 0.7468966 0.84939134 375.78036 193.28615 83.99692 0.0 0.0 0 0.045492694 8.855249e-05 0.0028842497 0.0039192955 0.0032752065 0.0019895225 1.0 0.9999998 0.9999997 19 20 42 0.3466621077762651 True 0.8600020191031875
197.7584302070777 -24.12312043908183 17.122213 17.714237 16.615953 141.61674 82.09285 225.74536 6.16539 10.635792 16.954073 0.6745873 0.76707435 0.8621512 263.13712 145.67654 50.147854 0.0 0.0 0 0.00027886522 0.0004995235 0.000974191 0.052456275 0.036644794 0.02187948 0.99999934 0.99999976 0.9999997 18 21 40 0.3660256407796521 True 0.8009413858016258
196.5362452345774 -23.41197528231926 17.212862 17.7222 16.848845 130.27335 81.49285 182.1639 9.059599 14.48255 20.251247 0.6573795 0.75383824 0.853798 271.00552 142.18079 68.51125 0.0 0.0 0 0.008321042 0.0097456025 0.011102341 0.041327234 0.032181744 0.022939315 0.9999644 0.900162 0.9999537 17 18 43 0.3331327172801825 True 0.6788018588582808
197.327712604755 -24.52542842816493 17.226936 17.767675 16.802956 128.59547 78.15019 190.02812 5.416354 8.912565 13.170276 0.6893911 0.77837336 0.8692318 44.824314 37.79288 3.458573 0.0 0.0 0 0.0066360454 0.007063916 0.0064384066 0.025536962 0.016299346 0.009184014 0.99713004 0.9970626 0.9971324 3 5 3 0.3117816907138776 True 0.6530797502993597
197.0406119980255 -23.10609478825113 17.234625 17.81526 16.880785 127.68806 74.79905 176.88281 2.1865778 3.732666 5.170761 0.671305 0.7645582 0.8605682 92.59102 48.23761 19.287527 0.0 0.0 8 0.024761446 0.060958512 0.031394847 1.0685766 1.2080195 1.4610405 0.99999994 0.99999964 0.99999994 19 20 44 0.5634632182143788 True 0.9128497606697672
197.3710938066636 -23.40983187046881 17.31465 17.8897 16.889706 118.61523 69.8425 175.43556 5.798903 9.848419 14.566113 0.7006926 0.78694606 0.8745738 200.1315 106.22146 46.09008 0.0 0.0 0 0.002829044 0.0027699796 0.00997362 0.068118714 0.045457635 0.018795948 0.8499999 0.8181818 0.9997596 17 18 43 0.4762760192428094 True 0.7423963146311278
