_RAJ2000	_DEJ2000	Label	Plan	RA (ICRS)	DE (ICRS)	X	Y
----------	----------	---------------	----------	-------------	-------------	--------	--------
197.4651601330477	-23.93772608746461	Tag 0	CDS/P/2MASS/color	13:09:51.63843	-23:56:15.8139	 	 
197.50311303568978	-23.975538344746393	Tag 1	CDS/P/2MASS/color	13:10:00.74713	-23:58:31.9380	 	 
197.65712457143934	-23.934422090003462	Tag 2	CDS/P/2MASS/color	13:10:37.70990	-23:56:03.9195	 	 
197.79398017075735	-23.95833236041141	Tag 3	CDS/P/2MASS/color	13:11:10.55524	-23:57:29.9965	 	 
197.78145911909206	-24.005639951895375	Tag 4	CDS/P/2MASS/color	13:11:07.55019	-24:00:20.3038	 	 
197.75653304557486	-24.15803749276541	Tag 5	CDS/P/2MASS/color	13:11:01.56793	-24:09:28.9350	 	 
197.79695288849857	-24.199974936381118	Tag 6	CDS/P/2MASS/color	13:11:11.26869	-24:11:59.9098	 	 
197.84440312532098	-24.270251111162427	Tag 7	CDS/P/2MASS/color	13:11:22.65675	-24:16:12.9040	 	 
197.112580652532	-24.262032015975596	Tag 8	CDS/P/2MASS/color	13:08:27.01936	-24:15:43.3153	 	 
197.26865197675224	-23.89245570937639	Tag 9	CDS/P/2MASS/color	13:09:04.47647	-23:53:32.8406	 	 
197.4910092717536	-24.046159256823433	Tag 10	CDS/P/2MASS/color	13:09:57.84223	-24:02:46.1733	 	 
197.33041028086956	-24.052655133068143	Tag 11	CDS/P/2MASS/color	13:09:19.29847	-24:03:09.5585	 	 
197.2164227403473	-24.06661408946461	Tag 12	CDS/P/2MASS/color	13:08:51.94146	-24:03:59.8107	 	 
197.1771690000449	-23.731927885689075	Tag 13	CDS/P/2MASS/color	13:08:42.52056	-23:43:54.9404	 	 
197.28088000503905	-23.72434317543932	Tag 14	CDS/P/2MASS/color	13:09:07.41120	-23:43:27.6354	 	 
197.44312331188723	-23.7434958854377	Tag 15	CDS/P/2MASS/color	13:09:46.34959	-23:44:36.5852	 	 
197.50863056496343	-23.753016871990912	Tag 16	CDS/P/2MASS/color	13:10:02.07134	-23:45:10.8607	 	 
197.6337094139275	-23.766532892003912	Tag 17	CDS/P/2MASS/color	13:10:32.09026	-23:45:59.5184	 	 
197.52009486711336	-23.82886631473751	Tag 18	CDS/P/2MASS/color	13:10:04.82277	-23:49:43.9187	 	 
197.71691655703822	-23.914480537572945	Tag 19	CDS/P/2MASS/color	13:10:52.05997	-23:54:52.1299	 	 
197.56783325761555	-23.89605760291026	Tag 20	CDS/P/2MASS/color	13:10:16.27998	-23:53:45.8074	 	 
197.55694578849142	-23.94058057778158	Tag 21	CDS/P/2MASS/color	13:10:13.66699	-23:56:26.0901	 	 
197.48188591776892	-23.897924858307782	Tag 22	CDS/P/2MASS/color	13:09:55.65262	-23:53:52.5295	 	 
197.31997173540978	-23.843383522602906	Tag 23	CDS/P/2MASS/color	13:09:16.79322	-23:50:36.1807	 	 
197.37513485853333	-23.755749045610894	Tag 24	CDS/P/2MASS/color	13:09:30.03237	-23:45:20.6966	 	 
197.22869088070695	-23.78333200163643	Tag 25	CDS/P/2MASS/color	13:08:54.88581	-23:46:59.9952	 	 
197.44940530832687	-23.674551866092553	Tag 26	CDS/P/2MASS/color	13:09:47.85727	-23:40:28.3867	 	 
196.96644726639175	-23.713132720481063	Tag 27	CDS/P/2MASS/color	13:07:51.94734	-23:42:47.2778	 	 
197.09071319389665	-23.8897840930166	Tag 28	CDS/P/2MASS/color	13:08:21.77117	-23:53:23.2227	 	 
197.21550204504672	-23.956703326595893	Tag 29	CDS/P/2MASS/color	13:08:51.72049	-23:57:24.1320	 	 
196.9779241660159	-23.848067458514215	Tag 30	CDS/P/2MASS/color	13:07:54.70180	-23:50:53.0429	 	 
196.89710848090664	-23.911130106109756	Tag 31	CDS/P/2MASS/color	13:07:35.30604	-23:54:40.0684	 	 
196.95887644171344	-23.918952325287826	Tag 32	CDS/P/2MASS/color	13:07:50.13035	-23:55:08.2284	 	 
196.96873719520272	-23.97481825163846	Tag 33	CDS/P/2MASS/color	13:07:52.49693	-23:58:29.3457	 	 
196.89379097766636	-23.973001961650244	Tag 34	CDS/P/2MASS/color	13:07:34.50983	-23:58:22.8071	 	 
196.81692210122586	-23.928497138322122	Tag 35	CDS/P/2MASS/color	13:07:16.06130	-23:55:42.5897	 	 
196.8485449471512	-23.8390172707524	Tag 36	CDS/P/2MASS/color	13:07:23.65079	-23:50:20.4622	 	 
196.84730953551238	-23.749510394475323	Tag 37	CDS/P/2MASS/color	13:07:23.35429	-23:44:58.2374	 	 
196.88276096140473	-23.7297087946414	Tag 38	CDS/P/2MASS/color	13:07:31.86263	-23:43:46.9517	 	 
196.92407726513886	-23.813823616381626	Tag 39	CDS/P/2MASS/color	13:07:41.77854	-23:48:49.7650	 	 
197.07995033056784	-24.149622608724183	Tag 40	CDS/P/2MASS/color	13:08:19.18808	-24:08:58.6414	 	 
197.08454588508403	-24.083543729537844	Tag 41	CDS/P/2MASS/color	13:08:20.29101	-24:05:00.7574	 	 
196.9206997647544	-24.090090474905878	Tag 42	CDS/P/2MASS/color	13:07:40.96794	-24:05:24.3257	 	 
197.11095065888497	-24.296789700195998	Tag 43	CDS/P/2MASS/color	13:08:26.62816	-24:17:48.4429	 	 
197.1912556846166	-24.34003520172332	Tag 44	CDS/P/2MASS/color	13:08:45.90136	-24:20:24.1267	 	 
197.10879610570035	-24.39165853149822	Tag 45	CDS/P/2MASS/color	13:08:26.11107	-24:23:29.9707	 	 
197.29352625441155	-24.472176582456257	Tag 46	CDS/P/2MASS/color	13:09:10.44630	-24:28:19.8357	 	 
197.32571555511927	-24.29194430459956	Tag 47	CDS/P/2MASS/color	13:09:18.17173	-24:17:30.9995	 	 
197.49954936314364	-24.21963901823495	Tag 48	CDS/P/2MASS/color	13:09:59.89185	-24:13:10.7005	 	 
197.51582457240767	-24.419645390057703	Tag 49	CDS/P/2MASS/color	13:10:03.79790	-24:25:10.7234	 	 
197.53711865635938	-24.49228876582431	Tag 50	CDS/P/2MASS/color	13:10:08.90848	-24:29:32.2396	 	 
197.5985194812509	-24.495753015700384	Tag 51	CDS/P/2MASS/color	13:10:23.64468	-24:29:44.7109	 	 
197.55575560212986	-24.54991729887918	Tag 52	CDS/P/2MASS/color	13:10:13.38134	-24:32:59.7023	 	 
197.70971542269663	-24.633870465508668	Tag 55	CDS/P/2MASS/color	13:10:50.33170	-24:38:01.9337	 	 
197.76538100122784	-24.540863395215595	Tag 56	CDS/P/2MASS/color	13:11:03.69144	-24:32:27.1082	 	 
197.88127181924298	-24.481191778988396	Tag 57	CDS/P/2MASS/color	13:11:31.50524	-24:28:52.2904	 	 
197.85800290845444	-24.65046749316327	Tag 58	CDS/P/2MASS/color	13:11:25.92070	-24:39:01.6830	 	 
197.93404352367605	-24.731316012905896	Tag 59	CDS/P/2MASS/color	13:11:44.17045	-24:43:52.7376	 	 
197.33736406323598	-24.623603124421486	Tag 60	CDS/P/2MASS/color	13:09:20.96738	-24:37:24.9712	 	 
197.42806399605425	-24.670783109748236	Tag 61	CDS/P/2MASS/color	13:09:42.73536	-24:40:14.8192	 	 
197.19440327282777	-24.697515314829253	Tag 62	CDS/P/2MASS/color	13:08:46.65679	-24:41:51.0551	 	 
197.8642652143748	-24.865606322037472	Tag 63	CDS/P/2MASS/color	13:11:27.42365	-24:51:56.1828	 	 
197.74624741795265	-24.73927610524343	Tag 64	CDS/P/2MASS/color	13:10:59.09938	-24:44:21.3940	 	 
196.53244614212724	-24.70747798256638	Tag 65	CDS/P/2MASS/color	13:06:07.78707	-24:42:26.9207	 	 
196.58389751905833	-24.53128935171529	Tag 66	CDS/P/2MASS/color	13:06:20.13540	-24:31:52.6417	 	 
196.64770240327022	-24.26508718096901	Tag 67	CDS/P/2MASS/color	13:06:35.44858	-24:15:54.3139	 	 
196.49146923951005	-24.089851886055712	Tag 68	CDS/P/2MASS/color	13:05:57.95262	-24:05:23.4668	 	 
196.5771818222835	-24.474100587293105	Tag 69	CDS/P/2MASS/color	13:06:18.52364	-24:28:26.7621	 	 
196.48148778814712	-24.496028496546362	Tag 70	CDS/P/2MASS/color	13:05:55.55707	-24:29:45.7026	 	 
196.56251562798502	-24.59704289798771	Tag 71	CDS/P/2MASS/color	13:06:15.00375	-24:35:49.3544	 	 
196.50695377495785	-24.637699775445608	Tag 72	CDS/P/2MASS/color	13:06:01.66891	-24:38:15.7192	 	 
196.68287638885622	-24.288397540079462	Tag 73	CDS/P/2MASS/color	13:06:43.89033	-24:17:18.2311	 	 
196.71096478561142	-24.231081021560865	Tag 74	CDS/P/2MASS/color	13:06:50.63155	-24:13:51.8917	 	 
196.86676371437355	-24.314957647906454	Tag 75	CDS/P/2MASS/color	13:07:28.02329	-24:18:53.8475	 	 
196.92449790016346	-24.421044177783596	Tag 76	CDS/P/2MASS/color	13:07:41.87950	-24:25:15.7590	 	 
197.0861033306366	-24.45026573774982	Tag 77	CDS/P/2MASS/color	13:08:20.66480	-24:27:00.9567	 	 
196.94188696260338	-24.50403251232505	Tag 78	CDS/P/2MASS/color	13:07:46.05287	-24:30:14.5170	 	 
196.68902870682115	-24.53727984415738	Tag 79	CDS/P/2MASS/color	13:06:45.36689	-24:32:14.2074	 	 
196.69068108793215	-24.452796641100253	Tag 80	CDS/P/2MASS/color	13:06:45.76346	-24:27:10.0679	 	 
196.87631692620448	-24.410721297524276	Tag 81	CDS/P/2MASS/color	13:07:30.31606	-24:24:38.5967	 	 
197.08754096834912	-24.58051557544017	Tag 82	CDS/P/2MASS/color	13:08:21.00983	-24:34:49.8561	 	 
197.22139820286472	-24.57803828272322	Tag 83	CDS/P/2MASS/color	13:08:53.13557	-24:34:40.9378	 	 
196.91363739217218	-24.137703871523637	Tag 84	CDS/P/2MASS/color	13:07:39.27297	-24:08:15.7339	 	 
