UCAC4 RA DEC MAG_R
328-069058 195.5554271 -24.5729184 12.521
326-067128 195.6078512 -24.9474995 11.954
328-069073 195.6292927 -24.5430625 11.229
329-066105 195.6832415 -24.2208881 11.394
331-068806 195.6895292 -23.9703367 11.121
330-068178 195.7005103 -24.1149931 11.91
328-069084 195.7667936 -24.5722237 11.969
330-068184 195.7721748 -24.0985912 12.759
325-069148 195.7732971 -25.0918512 11.248
329-066119 195.804455 -24.2304523 12.185
327-065761 195.8081239 -24.7427098 11.302
330-068192 195.8088665 -24.1133842 12.142
325-069155 195.8314809 -25.0746678 12.384
325-069158 195.8563521 -25.1033909 11.304
327-065766 195.8576483 -24.6137012 12.459
327-065767 195.85773 -24.7456581 11.576
326-067160 195.8792533 -24.968437 11.782
327-065770 195.9182012 -24.7353217 12.485
324-068028 195.938913 -25.3364575 12.407
325-069171 195.9593418 -25.1119862 12.069
330-068218 195.9980371 -24.0142114 12.32
330-068220 196.0173239 -24.1436681 11.627
324-068038 196.0187209 -25.2605298 12.702
326-067177 196.0213436 -24.8185053 12.634
327-065788 196.0434724 -24.6557698 10.882
326-067185 196.0586639 -24.8626378 11.925
329-066153 196.0776874 -24.2055959 12.527
330-068232 196.0837474 -24.1503667 12.573
331-068857 196.0875377 -23.8693459 12.56
328-069122 196.0971995 -24.5351767 12.511
