UCAC4 RA DEC MAG_R
327-000800 11.3397195 -24.7559837 10.876
328-000886 11.3678336 -24.5761612 11.967
324-000867 11.4508336 -25.3107506 10.965
325-000883 11.4797386 -25.1790242 12.434
323-000826 11.524643 -25.5314714 12.088
329-000889 11.6039215 -24.3227853 12.145
327-000816 11.6254603 -24.6483828 12.81
329-000893 11.6293786 -24.3693698 12.482
323-000837 11.6397789 -25.4591359 11.463
322-000865 11.7324689 -25.716125 11.824
324-000895 11.8171236 -25.3004275 11.287
324-000909 11.8599898 -25.3210845 12.214
325-000907 11.8643359 -25.1097792 12.45
328-000923 11.8778756 -24.52153 12.312
323-000852 11.9424686 -25.5754845 12.562
325-000919 12.084308 -25.1661339 12.815
323-000873 12.2150368 -25.4153775 12.373
325-000935 12.2455868 -25.0049206 12.473
322-000896 12.2722939 -25.6908748 11.862
322-000897 12.2847365 -25.7727517 12.32
328-000953 12.2943545 -24.5314812 11.927
321-000856 12.3037515 -25.8900806 12.711
329-000938 12.3475927 -24.2769945 12.715
326-000890 12.3526562 -24.9517456 11.09
327-000868 12.3650286 -24.6504909 12.505
324-000996 12.3655198 -25.2784284 12.42
329-000945 12.4064103 -24.3025037 10.861
329-000957 12.4910424 -24.2534392 12.623
323-000892 12.5247156 -25.4782328 11.79
325-000960 12.5411121 -25.1375531 10.902
