UCAC4 RA DEC MAG_R Vmag pmRA pmDE
323-000919 12.9130698 -25.4647645 11.504 11.977 -1.1 -8.2
320-000915 12.978073 -26.0505556 12.431 12.571 6.7 -7.2
318-000947 12.9687503 -26.420072 11.909 12.012 5.8 -5.4
324-001041 13.0020406 -25.3695967 11.188 11.493 0.3 -11.0
325-000960 12.5411121 -25.1375531 10.902 11.219 0.0 -3.7
327-000920 13.1086412 -24.700965 11.924 12.261 8.1 -7.7
322-000941 12.9921289 -25.6196845 12.852 12.988 5.9 4.4
322-000896 12.2722939 -25.6908748 11.862 11.967 -3.8 -14.6
322-000963 13.4033533 -25.7271606 12.367 12.601 -10.3 -7.6
324-001040 12.9785868 -25.2685814 12.773 12.897 -8.7 -9.4
319-000960 13.4448606 -26.3709884 12.484 12.537 0.9 -6.1
324-001027 12.8067171 -25.3965856 12.156 12.437 -5.8 -14.8
320-000960 13.5403671 -26.0944803 11.814 11.916 12.0 -8.8
321-000945 13.7001424 -25.9262375 11.87 12.024 -12.5 -7.0
323-000911 12.8202733 -25.4080828 12.229 12.566 10.4 -4.0
321-000887 12.786205 -25.9319575 12.103 12.449 1.4 -1.3
320-000861 12.3225833 -26.174237 12.407 12.501 -1.0 -6.7
324-001064 13.2802012 -25.2633442 12.139 12.255 -6.6 -9.8
325-000999 13.1832359 -25.1889175 11.939 12.284 6.9 1.2
325-000976 12.9139515 -25.0156206 12.261 12.43 12.7 -3.3
325-001029 13.5183295 -25.13825 12.159 12.295 9.4 1.2
321-000856 12.3037515 -25.8900806 12.711 12.861 9.2 -2.2
322-000921 12.6489662 -25.7329273 11.822 12.002 8.3 -7.2
324-001009 12.5934953 -25.3699892 12.56 12.879 10.2 4.1
321-000921 13.2625968 -25.8174189 12.865 12.997 -11.7 -11.4
325-001013 13.3783324 -25.1085309 12.585 12.802 -13.3 -0.9
325-000965 12.61437 -25.0345789 11.779 11.877 7.2 -4.9
325-000919 12.084308 -25.1661339 12.815 12.996 7.4 1.2
322-000929 12.788033 -25.7041414 11.875 12.061 13.9 -6.6
326-000890 12.3526562 -24.9517456 11.09 11.441 -2.0 2.5
