UCAC4 RA DEC MAG_R Vmag pmRA pmDE
323-000889 12.4709056 -25.5471203 12.714 12.842 13.6 -12.6
324-001041 13.0020406 -25.3695967 11.188 11.493 0.3 -11.0
325-001031 13.55418 -25.0760481 12.694 12.904 1.5 -8.8
322-000941 12.9921289 -25.6196845 12.852 12.988 5.9 4.4
325-000976 12.9139515 -25.0156206 12.261 12.43 12.7 -3.3
324-001027 12.8067171 -25.3965856 12.156 12.437 -5.8 -14.8
325-001029 13.5183295 -25.13825 12.159 12.295 9.4 1.2
323-000911 12.8202733 -25.4080828 12.229 12.566 10.4 -4.0
324-001009 12.5934953 -25.3699892 12.56 12.879 10.2 4.1
324-001040 12.9785868 -25.2685814 12.773 12.897 -8.7 -9.4
327-000920 13.1086412 -24.700965 11.924 12.261 8.1 -7.7
324-001064 13.2802012 -25.2633442 12.139 12.255 -6.6 -9.8
325-000960 12.5411121 -25.1375531 10.902 11.219 0.0 -3.7
329-000917 11.9709048 -24.2082309 12.035 12.344 11.7 4.5
325-000999 13.1832359 -25.1889175 11.939 12.284 6.9 1.2
325-001013 13.3783324 -25.1085309 12.585 12.802 -13.3 -0.9
329-000938 12.3475927 -24.2769945 12.715 12.882 -7.5 -11.4
322-000921 12.6489662 -25.7329273 11.822 12.002 8.3 -7.2
325-000919 12.084308 -25.1661339 12.815 12.996 7.4 1.2
324-000996 12.3655198 -25.2784284 12.42 12.808 6.1 -7.6
325-000965 12.61437 -25.0345789 11.779 11.877 7.2 -4.9
328-001041 13.5952033 -24.4261734 11.162 11.485 -0.1 -6.9
322-000896 12.2722939 -25.6908748 11.862 11.967 -3.8 -14.6
327-000868 12.3650286 -24.6504909 12.505 12.789 3.8 -3.9
330-000992 13.1534074 -24.09693 11.217 11.526 5.5 1.7
323-000919 12.9130698 -25.4647645 11.504 11.977 -1.1 -8.2
328-001016 13.2145633 -24.44946 11.772 11.963 2.5 -1.6
330-000954 12.6296574 -24.0405737 11.807 12.04 -16.9 -7.4
329-000983 12.7611068 -24.3515545 12.582 12.828	3.8 -18.8
328-000975 12.5942474 -24.5896306 12.566 12.698	16.4 4.4
329-000933 12.1395645 -24.2942206 12.535 12.718	15.1 3.4
