UCAC4 RA DEC MAG_R Vmag pmRA pmDE
330-000971 12.8004233 -24.0669067 12.457 12.66 23.9 -10.6
324-001007 12.565565 -25.244515 11.593 11.894 17.7 1.0
327-000816 11.6254603 -24.6483828 12.81 12.938 -8.4 -3.8
324-000889 11.7755233 -25.2007092 12.801 12.998 15.7 0.0
327-000868 12.3650286 -24.6504909 12.505 12.789 3.8 -3.9
325-000999 13.1832359 -25.1889175 11.939 12.284 6.9 1.2
325-000883 11.4797386 -25.1790242 12.434 12.744 1.5 -3.7
329-000893 11.6293786 -24.3693698 12.482 12.654 -15.5 -23.5
331-000937 12.0692583 -23.9827089 12.696 12.858 19.3 4.0
327-000924 13.1568609 -24.6644787 12.608 12.841 -4.2 -17.0
325-000965 12.61437 -25.0345789 11.779 11.877 7.2 -4.9
325-001013 13.3783324 -25.1085309 12.585 12.802 -13.3 -0.9
332-000985 12.6735133 -23.7792948 12.422 12.6 -8.5 -17.1
324-001064 13.2802012 -25.2633442 12.139 12.255 -6.6 -9.8
327-000920 13.1086412 -24.700965 11.924 12.261 8.1 -7.7
325-000970 12.7714409 -25.0739109 12.255 12.623 -15.4 -8.8
328-000975 12.5942474 -24.5896306 12.566 12.698 16.4 4.4
331-000927 11.9402821 -23.9111078 10.883 11.02 3.6 4.9
329-000938 12.3475927 -24.2769945 12.715 12.882 -7.5 -11.4
324-001009 12.5934953 -25.3699892 12.56 12.879 10.2 4.1
328-000953 12.2943545 -24.5314812 11.927 12.108 -3.2 -17.2
325-000907 11.8643359 -25.1097792 12.45 12.626 -8.1 -9.2
325-000919 12.084308 -25.1661339 12.815 12.996 7.4 1.2
325-000976 12.9139515 -25.0156206 12.261 12.43 12.7 -3.3
325-001009 13.3301424 -25.1938567 12.02 12.172 -12.0 -15.5
323-000852 11.9424686 -25.5754845 12.562 12.67 -11.6 -22.6
323-000873 12.2150368 -25.4153775 12.373 12.644 -0.7 -20.0
329-000891 11.6153683 -24.2732464 12.38 12.593 18.0 -5.1
