UCAC4 RA DEC MAG_R Vmag pmRA pmDE
329-000933 12.1395645 -24.2942206 12.535 12.718 15.1 3.4
325-000999 13.1832359 -25.1889175 11.939 12.284 6.9 1.2
325-000907 11.8643359 -25.1097792 12.45 12.626 -8.1 -9.2
326-000843 11.6556724 -24.9809145 12.571 12.806 12.6 -13.3
331-000927 11.9402821 -23.9111078 10.883 11.02 3.6 4.9
324-000996 12.3655198 -25.2784284 12.42 12.808 6.1 -7.6
332-000988 12.7618412 -23.6972178 11.759 11.88 -8.8 5.5
325-000960 12.5411121 -25.1375531 10.902 11.219 0.0 -3.7
325-001009 13.3301424 -25.1938567 12.02 12.172 -12.0 -15.5
323-000911 12.8202733 -25.4080828 12.229 12.566 10.4 -4.0
330-000878 11.8154274 -24.0758331 11.701 11.875 16.8 -11.0
329-000983 12.7611068 -24.3515545 12.582 12.828 3.8 -18.8
328-000975 12.5942474 -24.5896306 12.566 12.698 16.4 4.4
324-001009 12.5934953 -25.3699892 12.56 12.879 10.2 4.1
330-000992 13.1534074 -24.09693 11.217 11.526 5.5 1.7
327-000920 13.1086412 -24.700965 11.924 12.261 8.1 -7.7
324-001040 12.9785868 -25.2685814 12.773 12.897 -8.7 -9.4
330-000867 11.6543853 -24.007595 12.258 12.592 6.6 18.1
326-000836 11.5506974 -24.9389092 12.325 12.435 18.2 -6.9
331-001017 13.0856645 -23.9080656 10.901 11.187 -11.7 -10.1
324-000889 11.7755233 -25.2007092 12.801 12.998 15.7 0.0
325-000970 12.7714409 -25.0739109 12.255 12.623 -15.4 -8.8
323-000919 12.9130698 -25.4647645 11.504 11.977 -1.1 -8.2
331-000939 12.0952092 -23.8613106 11.816 11.934 -0.2 10.5
324-001041 13.0020406 -25.3695967 11.188 11.493 0.3 -11.0
327-000816 11.6254603 -24.6483828 12.81 12.938 -8.4 -3.8
332-000952 12.2686977 -23.722497 12.473 12.754 22.3 12.0
325-000919 12.084308 -25.1661339 12.815 12.996 7.4 1.2
