UCAC4 RA DEC MAG_R Vmag pmRA pmDE
331-001017 13.0856645 -23.9080656 10.901 11.187 -11.7 -10.1
325-000965 12.61437 -25.0345789 11.779 11.877 7.2 -4.9
330-000846 11.3086327 -24.1914375 12.324 12.441 23.9 14.9
327-000924 13.1568609 -24.6644787 12.608 12.841 -4.2 -17.0
325-000960 12.5411121 -25.1375531 10.902 11.219 0.0 -3.7
328-000923 11.8778756 -24.52153 12.312 12.505 2.5 -14.7
332-000968 12.4975109 -23.7989353 12.501 12.669 -7.6 5.3
332-000985 12.6735133 -23.7792948 12.422 12.6 -8.5 -17.1
333-000932 11.9663486 -23.5046042 12.609 12.901 15.2 -5.8
329-000957 12.4910424 -24.2534392 12.623 12.829 9.9 -12.6
330-000863 11.5128783 -24.0539523 11.862 12.05 14.7 -1.0
324-000996 12.3655198 -25.2784284 12.42 12.808 6.1 -7.6
330-000971 12.8004233 -24.0669067 12.457 12.66 23.9 -10.6
331-000913 11.7760583 -23.8115039 12.411 12.514 16.1 5.8
332-000952 12.2686977 -23.722497 12.473 12.754 22.3 12.0
329-000917 11.9709048 -24.2082309 12.035 12.344 11.7 4.5
326-000833 11.5261686 -24.9786314 12.349 12.515 10.4 -0.3
326-000824 11.4177198 -24.9254598 11.073 11.344 19.3 -16.2
324-000889 11.7755233 -25.2007092 12.801 12.998 15.7 0.0
325-000970 12.7714409 -25.0739109 12.255 12.623 -15.4 -8.8
330-000954 12.6296574 -24.0405737 11.807 12.04 -16.9 -7.4
329-000983 12.7611068 -24.3515545 12.582 12.828 3.8 -18.8
331-000939 12.0952092 -23.8613106 11.816 11.934 -0.2 10.5
329-000893 11.6293786 -24.3693698 12.482 12.654 -15.5 -23.5
331-000927 11.9402821 -23.9111078 10.883 11.02 3.6 4.9
328-000975 12.5942474 -24.5896306 12.566 12.698 16.4 4.4
330-000878 11.8154274 -24.0758331 11.701 11.875 16.8 -11.0
329-000891 11.6153683 -24.2732464 12.38 12.593 18.0 -5.1
325-000907 11.8643359 -25.1097792 12.45 12.626 -8.1 -9.2
325-000935 12.2455868 -25.0049206 12.473 12.772 -1.5 -23.0
