UCAC4 RA DEC MAG_R Vmag pmRA pmDE
323-000911 12.8202733 -25.4080828 12.229 12.566 10.4 -4.0
323-000923 12.9427498 -25.4999981 12.134 12.29 13.4 -1.8
323-000919 12.9130698 -25.4647645 11.504 11.977 -1.1 -8.2
326-000843 11.6556724 -24.9809145 12.571 12.806 12.6 -13.3
325-000965 12.61437 -25.0345789 11.779 11.877 7.2 -4.9
325-000976 12.9139515 -25.0156206 12.261 12.43 12.7 -3.3
328-001016 13.2145633 -24.44946 11.772 11.963 2.5 -1.6
328-000975 12.5942474 -24.5896306 12.566 12.698 16.4 4.4
328-000953 12.2943545 -24.5314812 11.927 12.108 -3.2 -17.2
329-000917 11.9709048 -24.2082309 12.035 12.344 11.7 4.5
324-001040 12.9785868 -25.2685814 12.773 12.897 -8.7 -9.4
325-000999 13.1832359 -25.1889175 11.939 12.284 6.9 1.2
325-000935 12.2455868 -25.0049206 12.473 12.772 -1.5 -23.0
329-000938 12.3475927 -24.2769945 12.715 12.882 -7.5 -11.4
321-000867 12.5355845 -25.8192306 12.566 12.843 17.7 3.2
322-000896 12.2722939 -25.6908748 11.862 11.967 -3.8 -14.6
327-000924 13.1568609 -24.6644787 12.608 12.841 -4.2 -17.0
323-000889 12.4709056 -25.5471203 12.714 12.842 13.6 -12.6
324-001007 12.565565 -25.244515 11.593 11.894 17.7 1.0
325-000919 12.084308 -25.1661339 12.815 12.996 7.4 1.2
325-001031 13.55418 -25.0760481 12.694 12.904 1.5 -8.8
321-000856 12.3037515 -25.8900806 12.711 12.861 9.2 -2.2
325-001013 13.3783324 -25.1085309 12.585 12.802 -13.3 -0.9
322-000897 12.2847365 -25.7727517 12.32 12.447 -18.4 -15.8
329-000983 12.7611068 -24.3515545 12.582 12.828 3.8 -18.8
324-001064 13.2802012 -25.2633442 12.139 12.255 -6.6 -9.8
325-000907 11.8643359 -25.1097792 12.45 12.626 -8.1 -9.2
328-000923 11.8778756 -24.52153 12.312 12.505 2.5 -14.7
325-001009 13.3301424 -25.1938567 12.02 12.172 -12.0 -15.5
