UCAC4 RA DEC MAG_R Vmag pmRA pmDE
477-124359 317.3925853 5.234982 12.741 12.935 -0.5 -7.0
477-124361 317.4061948 5.3930484 11.918 12.289 2.8 -1.0
475-124721 317.4577018 4.957867 11.542 11.822 -12.8 -14.5
477-124386 317.4586121 5.2884431 11.825 11.776 -4.1 -2.2
476-127030 317.4735274 5.1264156 12.774 12.987 2.6 -10.5
476-127035 317.5193739 5.06597 12.22 12.436 -10.3 -6.7
477-124399 317.5306415 5.2403692 11.869 12.231 0.6 -3.5
475-124740 317.5396653 4.9620873 12.055 12.344 -5.0 -10.2
475-124741 317.546615 4.8278781 11.097 11.278 3.5 -17.1
474-121500 317.5639409 4.6004781 12.228 12.565 -3.0 -4.3
476-127063 317.5818548 5.0587462 11.429 11.517 3.0 -17.7
474-121507 317.5973742 4.6602114 11.908 12.321 5.6 9.9
477-124434 317.6536183 5.3262139 11.632 12.022 -0.1 -11.2
478-130914 317.6653398 5.4979073 12.496 12.901 -4.6 -4.6
479-126023 317.67049 5.7248317 12.402 12.578 -8.1 -11.9
476-127089 317.6741465 5.1659525 11.783 12.092 -1.8 -2.0
475-124778 317.7023874 4.8923059 12.172 12.386 -24.2 -13.3
476-127108 317.7149574 5.0871631 12.494 12.901 -0.2 0.2
476-127109 317.7154189 5.1540489 10.68 11.003 -6.0 -27.9
476-127113 317.7191809 5.103265 11.612 11.949 -1.9 -1.8
475-124787 317.7256077 4.9104753 12.815 12.952 -5.8 -7.7
478-130939 317.7310053 5.4534048 10.793 11.155 -5.9 -13.8
476-127117 317.7378203 5.1005423 12.81 12.976 -5.1 -9.0
473-127242 317.7503848 4.5670025 11.582 11.929 3.4 -6.4
480-130361 317.7512686 5.9154287 12.286 12.815 -4.7 -3.4
477-124462 317.7673577 5.2373953 11.668 12.175 -14.7 -10.2
475-124810 317.7786842 4.8231528 11.997 12.221 -3.3 -30.0
473-127250 317.7834292 4.4390828 12.2 12.306 -0.3 -6.9
479-126058 317.7837374 5.7620809 12.622 12.631 0.1 -12.0
476-127143 317.7943118 5.1836512 11.79 12.01 -23.3 -42.4
