_RAJ2000	_DEJ2000	Label	Plan	RA (ICRS)	DE (ICRS)	X	Y
----------	----------	---------------	----------	-------------	-------------	--------	--------
318.2942031257847	6.551503066427625	Tag 12	CDS/P/2MASS/color	21:13:10.60875	+06:33:05.4110	 	 
318.4475968336738	6.703689711599069	Tag 15	CDS/P/2MASS/color	21:13:47.42324	+06:42:13.2830	 	 
318.6545828544626	6.982713041467897	Tag 16	CDS/P/2MASS/color	21:14:37.09989	+06:58:57.7669	 	 
318.6532567118907	6.805102012176304	Tag 17	CDS/P/2MASS/color	21:14:36.78161	+06:48:18.3672	 	 
318.52926070785486	7.142261269564106	Tag 19	CDS/P/2MASS/color	21:14:07.02257	+07:08:32.1406	 	 
318.2759550380005	7.278814266972139	Tag 20	CDS/P/2MASS/color	21:13:06.22921	+07:16:43.7314	 	 
318.30763515998086	7.190616806889012	Tag 21	CDS/P/2MASS/color	21:13:13.83244	+07:11:26.2205	 	 
318.3575669387443	7.089127260824133	Tag 22	CDS/P/2MASS/color	21:13:25.81607	+07:05:20.8581	 	 
318.39652170508606	6.993674758703008	Tag 23	CDS/P/2MASS/color	21:13:35.16521	+06:59:37.2291	 	 
318.54743676057825	6.916312823888595	Tag 24	CDS/P/2MASS/color	21:14:11.38482	+06:54:58.7262	 	 
318.3831249220518	6.841436706971805	Tag 25	CDS/P/2MASS/color	21:13:31.94998	+06:50:29.1721	 	 
318.2687648980088	6.691605429536507	Tag 26	CDS/P/2MASS/color	21:13:04.50358	+06:41:29.7795	 	 
318.27673538031564	7.377108696748394	Tag 27	CDS/P/2MASS/color	21:13:06.41649	+07:22:37.5913	 	 
318.29977014575934	7.504902093270386	Tag 28	CDS/P/2MASS/color	21:13:11.94483	+07:30:17.6475	 	 
318.1520552665051	7.616844296176782	Tag 29	CDS/P/2MASS/color	21:12:36.49326	+07:37:00.6395	 	 
317.94504182509564	7.648580349774407	Tag 30	CDS/P/2MASS/color	21:11:46.81004	+07:38:54.8893	 	 
317.7937809764593	7.658159959404605	Tag 31	CDS/P/2MASS/color	21:11:10.50743	+07:39:29.3759	 	 
317.81133461458245	7.488923050599816	Tag 32	CDS/P/2MASS/color	21:11:14.72031	+07:29:20.1230	 	 
317.9694732714783	7.556711564465182	Tag 33	CDS/P/2MASS/color	21:11:52.67359	+07:33:24.1616	 	 
318.16667940568146	7.438612590621905	Tag 34	CDS/P/2MASS/color	21:12:40.00306	+07:26:19.0053	 	 
318.0628834587811	7.382651091101063	Tag 35	CDS/P/2MASS/color	21:12:15.09203	+07:22:57.5439	 	 
317.8106966703907	7.410169406067992	Tag 36	CDS/P/2MASS/color	21:11:14.56720	+07:24:36.6099	 	 
318.0523285127163	7.725182272224376	Tag 37	CDS/P/2MASS/color	21:12:12.55884	+07:43:30.6562	 	 
317.68740595499463	7.558374275112305	Tag 38	CDS/P/2MASS/color	21:10:44.97743	+07:33:30.1474	 	 
317.567206744195	7.648176913070912	Tag 39	CDS/P/2MASS/color	21:10:16.12962	+07:38:53.4369	 	 
317.245866060274	7.504306298497276	Tag 40	CDS/P/2MASS/color	21:08:59.00785	+07:30:15.5027	 	 
317.3973048250149	7.532971214605833	Tag 41	CDS/P/2MASS/color	21:09:35.35316	+07:31:58.6964	 	 
317.501482203331	7.492469646103571	Tag 42	CDS/P/2MASS/color	21:10:00.35573	+07:29:32.8907	 	 
317.6336829251952	7.453525922955329	Tag 43	CDS/P/2MASS/color	21:10:32.08390	+07:27:12.6933	 	 
317.67050479264157	7.358976061589926	Tag 44	CDS/P/2MASS/color	21:10:40.92115	+07:21:32.3138	 	 
317.5791822905185	7.331193510319883	Tag 45	CDS/P/2MASS/color	21:10:19.00375	+07:19:52.2966	 	 
317.4125848961641	7.295437244688818	Tag 46	CDS/P/2MASS/color	21:09:39.02038	+07:17:43.5741	 	 
317.1738878327122	7.32391951092663	Tag 47	CDS/P/2MASS/color	21:08:41.73308	+07:19:26.1102	 	 
317.16754525214094	7.1538063766196425	Tag 48	CDS/P/2MASS/color	21:08:40.21086	+07:09:13.7030	 	 
317.4953327168037	7.130967197752911	Tag 49	CDS/P/2MASS/color	21:09:58.87985	+07:07:51.4819	 	 
317.2458748109577	6.8121384824844124	Tag 50	CDS/P/2MASS/color	21:08:59.00995	+06:48:43.6985	 	 
317.4032222726019	6.882489090248221	Tag 51	CDS/P/2MASS/color	21:09:36.77335	+06:52:56.9607	 	 
317.57625129805007	6.92993878128298	Tag 52	CDS/P/2MASS/color	21:10:18.30031	+06:55:47.7796	 	 
317.62144212026914	7.08248535529216	Tag 53	CDS/P/2MASS/color	21:10:29.14611	+07:04:56.9473	 	 
317.4566899016208	7.233302953002167	Tag 54	CDS/P/2MASS/color	21:09:49.60558	+07:13:59.8906	 	 
317.2745132682288	7.0970851474004375	Tag 55	CDS/P/2MASS/color	21:09:05.88318	+07:05:49.5065	 	 
317.23580598929436	6.751746435706889	Tag 56	CDS/P/2MASS/color	21:08:56.59344	+06:45:06.2872	 	 
317.2625415267345	6.5114745399384475	Tag 57	CDS/P/2MASS/color	21:09:03.00997	+06:30:41.3083	 	 
317.4013953820953	6.588230004708587	Tag 60	CDS/P/2MASS/color	21:09:36.33489	+06:35:17.6280	 	 
317.48495456062403	6.791098850069263	Tag 62	CDS/P/2MASS/color	21:09:56.38909	+06:47:27.9559	 	 
317.55249549007357	6.664845570710301	Tag 63	CDS/P/2MASS/color	21:10:12.59892	+06:39:53.4441	 	 
317.62318728875874	6.473068081129572	Tag 64	CDS/P/2MASS/color	21:10:29.56495	+06:28:23.0451	 	 
317.80481495689963	6.361095325370155	Tag 65	CDS/P/2MASS/color	21:11:13.15559	+06:21:39.9432	 	 
317.48435201360735	6.4992829024569785	Tag 70	CDS/P/2MASS/color	21:09:56.24448	+06:29:57.4184	 	 
317.6314887306702	6.393662429295213	Tag 71	CDS/P/2MASS/color	21:10:31.55730	+06:23:37.1847	 	 
317.8768724932941	6.288771241152805	Tag 74	CDS/P/2MASS/color	21:11:30.44940	+06:17:19.5765	 	 
317.948856582797	6.395991479455162	Tag 75	CDS/P/2MASS/color	21:11:47.72558	+06:23:45.5693	 	 
318.1327633429862	6.444332789091633	Tag 76	CDS/P/2MASS/color	21:12:31.86320	+06:26:39.5980	 	 
317.8697521013893	6.509628026899562	Tag 77	CDS/P/2MASS/color	21:11:28.74050	+06:30:34.6609	 	 
317.66118438441634	7.299941201268598	Tag 78	CDS/P/2MASS/color	21:10:38.68425	+07:17:59.7883	 	 
317.720111082649	7.025858258404418	Tag 79	CDS/P/2MASS/color	21:10:52.82666	+07:01:33.0897	 	 
317.6510816483258	6.89064473602491	Tag 80	CDS/P/2MASS/color	21:10:36.25960	+06:53:26.3210	 	 
317.7827395123544	7.180248726152954	Tag 81	CDS/P/2MASS/color	21:11:07.85748	+07:10:48.8954	 	 
317.8785651912711	7.319087082748418	Tag 82	CDS/P/2MASS/color	21:11:30.85565	+07:19:08.7135	 	 
317.81672579687336	6.88605904798408	Tag 83	CDS/P/2MASS/color	21:11:16.01419	+06:53:09.8126	 	 
317.6533182414376	6.714287460236851	Tag 84	CDS/P/2MASS/color	21:10:36.79638	+06:42:51.4349	 	 
317.8078534811348	6.625673545383678	Tag 85	CDS/P/2MASS/color	21:11:13.88484	+06:37:32.4248	 	 
317.9899597847342	6.617396069940955	Tag 86	CDS/P/2MASS/color	21:11:57.59035	+06:37:02.6259	 	 
318.10120013401513	6.550636241696652	Tag 87	CDS/P/2MASS/color	21:12:24.28803	+06:33:02.2905	 	 
318.16436480931793	6.818048493175251	Tag 88	CDS/P/2MASS/color	21:12:39.44755	+06:49:04.9746	 	 
317.9543653304461	7.256004380833146	Tag 89	CDS/P/2MASS/color	21:11:49.04768	+07:15:21.6158	 	 
318.12936058675217	7.220539697173233	Tag 90	CDS/P/2MASS/color	21:12:31.04654	+07:13:13.9429	 	 
318.21287166043567	7.122589844464941	Tag 91	CDS/P/2MASS/color	21:12:51.08920	+07:07:21.3234	 	 
318.18254781690734	6.9970553262635145	Tag 92	CDS/P/2MASS/color	21:12:43.81148	+06:59:49.3992	 	 
318.0542539406828	7.075786124798876	Tag 93	CDS/P/2MASS/color	21:12:13.02095	+07:04:32.8300	 	 
317.9035252439933	7.098011644169952	Tag 94	CDS/P/2MASS/color	21:11:36.84606	+07:05:52.8419	 	 
317.9805237484479	6.941728780939362	Tag 95	CDS/P/2MASS/color	21:11:55.32570	+06:56:30.2236	 	 
317.38616861376784	6.416550314310178	Tag 96	CDS/P/2MASS/color	21:09:32.68047	+06:24:59.5811	 	 
317.5336277284156	6.299985269647008	Tag 97	CDS/P/2MASS/color	21:10:08.07065	+06:17:59.9470	 	 
318.495089453956	6.632920118753913	Tag 98	CDS/P/2MASS/color	21:13:58.82147	+06:37:58.5124	 	 
318.3564555818449	7.351875666768762	Tag 99	CDS/P/2MASS/color	21:13:25.54934	+07:21:06.7524	 	 
318.5076059703547	7.2627859590855115	Tag 100	CDS/P/2MASS/color	21:14:01.82543	+07:15:46.0295	 	 
318.6433713107961	7.149472042138795	Tag 101	CDS/P/2MASS/color	21:14:34.40911	+07:08:58.0994	 	 
318.45535412127407	7.439632086090931	Tag 102	CDS/P/2MASS/color	21:13:49.28499	+07:26:22.6755	 	 
318.25242593283656	7.741171985532667	Tag 103	CDS/P/2MASS/color	21:13:00.58222	+07:44:28.2191	 	 
318.1485093266747	7.889321647530182	Tag 104	CDS/P/2MASS/color	21:12:35.64224	+07:53:21.5579	 	 
317.7805366951711	7.796691000475316	Tag 105	CDS/P/2MASS/color	21:11:07.32881	+07:47:48.0876	 	 
318.04453209129895	7.991217585035346	Tag 106	CDS/P/2MASS/color	21:12:10.68770	+07:59:28.3833	 	 
317.9587233935524	7.838859929595752	Tag 107	CDS/P/2MASS/color	21:11:50.09361	+07:50:19.8957	 	 
317.84433404244305	7.97287181435388	Tag 108	CDS/P/2MASS/color	21:11:22.64017	+07:58:22.3385	 	 
317.6441099308286	8.008016776284254	Tag 109	CDS/P/2MASS/color	21:10:34.58638	+08:00:28.8604	 	 
317.5123904169547	7.87803410902658	Tag 110	CDS/P/2MASS/color	21:10:02.97370	+07:52:40.9228	 	 
317.6310478883669	7.737898186060591	Tag 111	CDS/P/2MASS/color	21:10:31.45149	+07:44:16.4335	 	 
317.9013963022781	8.105776251552813	Tag 112	CDS/P/2MASS/color	21:11:36.33511	+08:06:20.7945	 	 
317.6920753625352	8.082860829309329	Tag 113	CDS/P/2MASS/color	21:10:46.09809	+08:04:58.2990	 	 
318.242658147476	7.984227412912472	Tag 114	CDS/P/2MASS/color	21:12:58.23796	+07:59:03.2187	 	 
318.0150932303749	8.169533321224028	Tag 115	CDS/P/2MASS/color	21:12:03.62238	+08:10:10.3200	 	 
317.80262772365785	8.189313153545763	Tag 116	CDS/P/2MASS/color	21:11:12.63065	+08:11:21.5274	 	 
317.491893850467	8.138130653422932	Tag 118	CDS/P/2MASS/color	21:09:58.05452	+08:08:17.2704	 	 
317.3181673593341	8.06416494066787	Tag 119	CDS/P/2MASS/color	21:09:16.36017	+08:03:50.9938	 	 
317.2903642199785	7.876248003102016	Tag 120	CDS/P/2MASS/color	21:09:09.68741	+07:52:34.4928	 	 
317.1346574530426	7.741624932699575	Tag 121	CDS/P/2MASS/color	21:08:32.31779	+07:44:29.8498	 	 
317.3116719618975	7.7187845373205475	Tag 122	CDS/P/2MASS/color	21:09:14.80127	+07:43:07.6243	 	 
317.50449266477943	7.782962878971627	Tag 123	CDS/P/2MASS/color	21:10:01.07824	+07:46:58.6664	 	 
317.1849772671973	7.580637957166036	Tag 124	CDS/P/2MASS/color	21:08:44.39454	+07:34:50.2966	 	 
317.11013124421146	7.858141338331372	Tag 125	CDS/P/2MASS/color	21:08:26.43150	+07:51:29.3088	 	 
316.9826021959927	7.26770938983841	Tag 126	CDS/P/2MASS/color	21:07:55.82453	+07:16:03.7538	 	 
