_RAJ2000	_DEJ2000	Label	Plan	RA (ICRS)	DE (ICRS)	X	Y
----------	----------	---------------	----------	-------------	-------------	--------	--------
78.63345269145758	-36.74000457052834	Tag 0	CDS/P/2MASS/color	05:14:32.02865	-36:44:24.0165	 	 
78.73423034538847	-36.79559763444351	Tag 1	CDS/P/2MASS/color	05:14:56.21528	-36:47:44.1515	 	 
78.94183838491595	-36.79932943099747	Tag 2	CDS/P/2MASS/color	05:15:46.04121	-36:47:57.5860	 	 
79.15510603737047	-36.793149726371745	Tag 3	CDS/P/2MASS/color	05:16:37.22545	-36:47:35.3390	 	 
79.15137864319014	-36.69640781106671	Tag 4	CDS/P/2MASS/color	05:16:36.33087	-36:41:47.0681	 	 
79.29200999398101	-36.68133807764081	Tag 5	CDS/P/2MASS/color	05:17:10.08240	-36:40:52.8171	 	 
79.30622848412605	-36.60184514980581	Tag 6	CDS/P/2MASS/color	05:17:13.49484	-36:36:06.6425	 	 
79.02739876175839	-36.58866550931405	Tag 7	CDS/P/2MASS/color	05:16:06.57570	-36:35:19.1958	 	 
78.77186612969291	-36.59143986633177	Tag 8	CDS/P/2MASS/color	05:15:05.24787	-36:35:29.1835	 	 
78.48843409949194	-36.659894014728096	Tag 9	CDS/P/2MASS/color	05:13:57.22418	-36:39:35.6185	 	 
78.28134040825658	-36.600263024303054	Tag 10	CDS/P/2MASS/color	05:13:07.52170	-36:36:00.9469	 	 
78.21170410089918	-36.483259986931245	Tag 11	CDS/P/2MASS/color	05:12:50.80898	-36:28:59.7360	 	 
78.41013952613638	-36.51365076908193	Tag 12	CDS/P/2MASS/color	05:13:38.43349	-36:30:49.1428	 	 
79.46654130037008	-36.55121560403884	Tag 13	CDS/P/2MASS/color	05:17:51.96991	-36:33:04.3762	 	 
79.61015351729525	-36.506942933197315	Tag 14	CDS/P/2MASS/color	05:18:26.43684	-36:30:24.9946	 	 
79.75707575673448	-36.48750716076629	Tag 15	CDS/P/2MASS/color	05:19:01.69818	-36:29:15.0258	 	 
79.76895956703503	-36.255456966474675	Tag 16	CDS/P/2MASS/color	05:19:04.55030	-36:15:19.6451	 	 
79.45909714531894	-36.159365601739275	Tag 17	CDS/P/2MASS/color	05:17:50.18331	-36:09:33.7162	 	 
79.0771698953816	-36.142705972566326	Tag 18	CDS/P/2MASS/color	05:16:18.52077	-36:08:33.7415	 	 
79.16527702969381	-36.34322046061348	Tag 19	CDS/P/2MASS/color	05:16:39.66649	-36:20:35.5937	 	 
78.86455137839533	-36.23450900162864	Tag 20	CDS/P/2MASS/color	05:15:27.49233	-36:14:04.2324	 	 
78.63500752411056	-36.34938874641688	Tag 21	CDS/P/2MASS/color	05:14:32.40181	-36:20:57.7995	 	 
78.86661600511134	-36.46297425545528	Tag 22	CDS/P/2MASS/color	05:15:27.98784	-36:27:46.7073	 	 
78.25391494748474	-36.30730914536642	Tag 23	CDS/P/2MASS/color	05:13:00.93959	-36:18:26.3129	 	 
77.97635974318345	-36.30069973171609	Tag 24	CDS/P/2MASS/color	05:11:54.32634	-36:18:02.5190	 	 
77.80699522721076	-36.16495831589047	Tag 25	CDS/P/2MASS/color	05:11:13.67885	-36:09:53.8499	 	 
77.95569199015918	-36.07827416724869	Tag 26	CDS/P/2MASS/color	05:11:49.36608	-36:04:41.7870	 	 
78.11061247029414	-36.04562085445512	Tag 27	CDS/P/2MASS/color	05:12:26.54699	-36:02:44.2351	 	 
78.39577582301636	-36.093617085376515	Tag 28	CDS/P/2MASS/color	05:13:34.98620	-36:05:37.0215	 	 
78.72411231271813	-36.04639815827095	Tag 29	CDS/P/2MASS/color	05:14:53.78696	-36:02:47.0334	 	 
78.92679841703175	-36.025119435903854	Tag 30	CDS/P/2MASS/color	05:15:42.43162	-36:01:30.4300	 	 
79.15055040101159	-36.07981836044998	Tag 31	CDS/P/2MASS/color	05:16:36.13210	-36:04:47.3461	 	 
78.57268502300715	-35.86384961440685	Tag 32	CDS/P/2MASS/color	05:14:17.44441	-35:51:49.8586	 	 
78.98709437630262	-35.882468605139344	Tag 33	CDS/P/2MASS/color	05:15:56.90265	-35:52:56.8870	 	 
79.15412210221199	-35.8779195303288	Tag 34	CDS/P/2MASS/color	05:16:36.98930	-35:52:40.5103	 	 
79.41958503883536	-35.89722678157722	Tag 35	CDS/P/2MASS/color	05:17:40.70041	-35:53:50.0164	 	 
79.56400348254411	-35.82568133955934	Tag 36	CDS/P/2MASS/color	05:18:15.36084	-35:49:32.4528	 	 
79.75382350237128	-35.91932188080869	Tag 37	CDS/P/2MASS/color	05:19:00.91764	-35:55:09.5588	 	 
79.83844226942006	-35.85975206339764	Tag 38	CDS/P/2MASS/color	05:19:21.22614	-35:51:35.1074	 	 
79.97106972205142	-35.85301881321734	Tag 39	CDS/P/2MASS/color	05:19:53.05673	-35:51:10.8677	 	 
79.69559459358946	-35.62955733984923	Tag 40	CDS/P/2MASS/color	05:18:46.94270	-35:37:46.4064	 	 
79.4192851240375	-35.73169745233688	Tag 41	CDS/P/2MASS/color	05:17:40.62843	-35:43:54.1108	 	 
79.27936979179793	-35.656871802971345	Tag 42	CDS/P/2MASS/color	05:17:07.04875	-35:39:24.7385	 	 
79.00439806148151	-35.619110336593764	Tag 43	CDS/P/2MASS/color	05:16:01.05553	-35:37:08.7972	 	 
78.58036286197604	-35.66815404031041	Tag 44	CDS/P/2MASS/color	05:14:19.28709	-35:40:05.3545	 	 
78.4395739997153	-35.62013508479352	Tag 45	CDS/P/2MASS/color	05:13:45.49776	-35:37:12.4863	 	 
78.43033635335642	-35.9625917881522	Tag 46	CDS/P/2MASS/color	05:13:43.28072	-35:57:45.3304	 	 
78.30104725489682	-35.81225945249752	Tag 47	CDS/P/2MASS/color	05:13:12.25134	-35:48:44.1340	 	 
78.16583782890375	-35.80523541487544	Tag 48	CDS/P/2MASS/color	05:12:39.80108	-35:48:18.8475	 	 
78.27908518207511	-35.96306170819197	Tag 49	CDS/P/2MASS/color	05:13:06.98044	-35:57:47.0221	 	 
78.15151259536879	-35.952347541701215	Tag 50	CDS/P/2MASS/color	05:12:36.36302	-35:57:08.4512	 	 
78.02059761481112	-35.95703118208203	Tag 51	CDS/P/2MASS/color	05:12:04.94343	-35:57:25.3123	 	 
77.7374123283724	-35.921165095046895	Tag 52	CDS/P/2MASS/color	05:10:56.97896	-35:55:16.1943	 	 
77.81278086456054	-36.02453030659084	Tag 53	CDS/P/2MASS/color	05:11:15.06741	-36:01:28.3091	 	 
77.65229553715834	-35.77021872165444	Tag 54	CDS/P/2MASS/color	05:10:36.55093	-35:46:12.7874	 	 
77.74376171989391	-35.68272571325218	Tag 55	CDS/P/2MASS/color	05:10:58.50281	-35:40:57.8126	 	 
78.02158080340172	-35.68386244394504	Tag 56	CDS/P/2MASS/color	05:12:05.17939	-35:41:01.9048	 	 
78.1542172616257	-35.64354413864837	Tag 57	CDS/P/2MASS/color	05:12:37.01214	-35:38:36.7589	 	 
78.4154182976973	-35.71322979058835	Tag 58	CDS/P/2MASS/color	05:13:39.70039	-35:42:47.6272	 	 
78.02266890607531	-35.52529624082391	Tag 59	CDS/P/2MASS/color	05:12:05.44054	-35:31:31.0665	 	 
78.72776495825997	-35.54307718708872	Tag 60	CDS/P/2MASS/color	05:14:54.66359	-35:32:35.0779	 	 
79.13891579700791	-35.448159301494215	Tag 61	CDS/P/2MASS/color	05:16:33.33979	-35:26:53.3735	 	 
79.43936527344901	-35.48031040008585	Tag 62	CDS/P/2MASS/color	05:17:45.44767	-35:28:49.1174	 	 
79.71015992428369	-35.4341299619936	Tag 63	CDS/P/2MASS/color	05:18:50.43838	-35:26:02.8679	 	 
79.70380543041595	-35.323014653608574	Tag 64	CDS/P/2MASS/color	05:18:48.91330	-35:19:22.8528	 	 
79.4304183283021	-35.20662412818304	Tag 65	CDS/P/2MASS/color	05:17:43.30040	-35:12:23.8469	 	 
79.2865698092363	-35.03776219145974	Tag 66	CDS/P/2MASS/color	05:17:08.77675	-35:02:15.9439	 	 
79.03368318234882	-35.02738835335387	Tag 67	CDS/P/2MASS/color	05:16:08.08396	-35:01:38.5981	 	 
78.72823731006324	-35.04981101195499	Tag 68	CDS/P/2MASS/color	05:14:54.77695	-35:02:59.3196	 	 
78.47227432406731	-34.97017523582535	Tag 69	CDS/P/2MASS/color	05:13:53.34584	-34:58:12.6308	 	 
78.30382128399158	-35.06546885873535	Tag 70	CDS/P/2MASS/color	05:13:12.91711	-35:03:55.6879	 	 
78.15502241349972	-35.20371100854919	Tag 71	CDS/P/2MASS/color	05:12:37.20538	-35:12:13.3596	 	 
77.90267905194104	-35.26323194053174	Tag 72	CDS/P/2MASS/color	05:11:36.64297	-35:15:47.6350	 	 
78.14904309627453	-35.3120604352913	Tag 73	CDS/P/2MASS/color	05:12:35.77034	-35:18:43.4176	 	 
78.43163611311174	-35.32715614821492	Tag 74	CDS/P/2MASS/color	05:13:43.59267	-35:19:37.7621	 	 
78.44420896824782	-35.181297774530904	Tag 75	CDS/P/2MASS/color	05:13:46.61015	-35:10:52.6720	 	 
78.72129882179789	-35.19431288846976	Tag 76	CDS/P/2MASS/color	05:14:53.11172	-35:11:39.5264	 	 
79.00543177435034	-35.269209164203524	Tag 77	CDS/P/2MASS/color	05:16:01.30363	-35:16:09.1530	 	 
79.29648059802028	-35.27393722889116	Tag 78	CDS/P/2MASS/color	05:17:11.15534	-35:16:26.1740	 	 
78.71945993832995	-35.32492296078348	Tag 79	CDS/P/2MASS/color	05:14:52.67039	-35:19:29.7227	 	 
78.43981800450318	-35.40082403794122	Tag 80	CDS/P/2MASS/color	05:13:45.55632	-35:24:02.9665	 	 
78.1566413459893	-35.426040940075566	Tag 81	CDS/P/2MASS/color	05:12:37.59392	-35:25:33.7474	 	 
77.87843778512055	-35.44785700654976	Tag 82	CDS/P/2MASS/color	05:11:30.82507	-35:26:52.2852	 	 
