_RAJ2000	_DEJ2000	Label	Plan	RA (ICRS)	DE (ICRS)	X	Y
----------	----------	---------------	----------	-------------	-------------	--------	--------
78.86265897446742	-36.26178637041019	Tag 0	CDS/P/2MASS/color	05:15:27.03815	-36:15:42.4309	 	 
78.56953397333818	-36.3135276529169	Tag 1	CDS/P/2MASS/color	05:14:16.68815	-36:18:48.6996	 	 
78.41230647614152	-36.39264011963276	Tag 2	CDS/P/2MASS/color	05:13:38.95355	-36:23:33.5044	 	 
78.11240482768869	-36.440486887579404	Tag 3	CDS/P/2MASS/color	05:12:26.97716	-36:26:25.7528	 	 
77.75494798027722	-36.45742281386875	Tag 4	CDS/P/2MASS/color	05:11:01.18752	-36:27:26.7221	 	 
77.58120104785309	-36.35845789660061	Tag 5	CDS/P/2MASS/color	05:10:19.48825	-36:21:30.4484	 	 
77.4580711853169	-36.28189893600556	Tag 6	CDS/P/2MASS/color	05:09:49.93708	-36:16:54.8362	 	 
77.57328432013041	-36.20017358556733	Tag 7	CDS/P/2MASS/color	05:10:17.58824	-36:12:00.6249	 	 
77.90589837910939	-36.159434751930874	Tag 8	CDS/P/2MASS/color	05:11:37.41561	-36:09:33.9651	 	 
78.12781440353606	-36.22986358021437	Tag 9	CDS/P/2MASS/color	05:12:30.67546	-36:13:47.5089	 	 
78.47229425865977	-36.17172845150674	Tag 10	CDS/P/2MASS/color	05:13:53.35062	-36:10:18.2224	 	 
78.71879290232711	-36.05735918332435	Tag 11	CDS/P/2MASS/color	05:14:52.51030	-36:03:26.4931	 	 
79.006629310249	-36.01631779152638	Tag 12	CDS/P/2MASS/color	05:16:01.59103	-36:00:58.7440	 	 
78.86127465612674	-35.90670673253487	Tag 13	CDS/P/2MASS/color	05:15:26.70592	-35:54:24.1442	 	 
78.48709702213911	-36.04122610923309	Tag 14	CDS/P/2MASS/color	05:13:56.90329	-36:02:28.4140	 	 
78.10897994626657	-36.04948296067247	Tag 15	CDS/P/2MASS/color	05:12:26.15519	-36:02:58.1387	 	 
77.7925445929507	-36.01717960677904	Tag 16	CDS/P/2MASS/color	05:11:10.21070	-36:01:01.8466	 	 
77.33994946511787	-36.097313605563855	Tag 17	CDS/P/2MASS/color	05:09:21.58787	-36:05:50.3290	 	 
77.08911169567757	-35.935812759351386	Tag 18	CDS/P/2MASS/color	05:08:21.38681	-35:56:08.9259	 	 
77.08351293381111	-35.776225408929285	Tag 19	CDS/P/2MASS/color	05:08:20.04310	-35:46:34.4115	 	 
77.44586770252846	-35.75050395780392	Tag 20	CDS/P/2MASS/color	05:09:47.00825	-35:45:01.8142	 	 
77.74038496811578	-35.77267570647283	Tag 21	CDS/P/2MASS/color	05:10:57.69239	-35:46:21.6325	 	 
78.27609441468925	-35.84243190394146	Tag 22	CDS/P/2MASS/color	05:13:06.26266	-35:50:32.7549	 	 
78.43899120858906	-35.73059123532324	Tag 23	CDS/P/2MASS/color	05:13:45.35789	-35:43:50.1284	 	 
78.72327162427054	-35.739438612832856	Tag 24	CDS/P/2MASS/color	05:14:53.58519	-35:44:21.9790	 	 
79.01077672923823	-35.80318231002095	Tag 25	CDS/P/2MASS/color	05:16:02.58642	-35:48:11.4563	 	 
77.43400009276176	-35.669315080526005	Tag 26	CDS/P/2MASS/color	05:09:44.16002	-35:40:09.5343	 	 
77.3614140983692	-35.57076485614527	Tag 27	CDS/P/2MASS/color	05:09:26.73938	-35:34:14.7535	 	 
77.34520891018423	-35.43868511232	Tag 28	CDS/P/2MASS/color	05:09:22.85014	-35:26:19.2664	 	 
77.55213126076242	-35.42665526555245	Tag 29	CDS/P/2MASS/color	05:10:12.51150	-35:25:35.9590	 	 
77.5472919220948	-35.29630877692404	Tag 30	CDS/P/2MASS/color	05:10:11.35006	-35:17:46.7116	 	 
77.7378997111448	-35.31080922086005	Tag 31	CDS/P/2MASS/color	05:10:57.09593	-35:18:38.9132	 	 
78.10852464839064	-35.34838058757661	Tag 32	CDS/P/2MASS/color	05:12:26.04592	-35:20:54.1701	 	 
78.21033684344007	-35.41404455935507	Tag 33	CDS/P/2MASS/color	05:12:50.48084	-35:24:50.5604	 	 
78.39816919351917	-35.479125838863204	Tag 34	CDS/P/2MASS/color	05:13:35.56061	-35:28:44.8530	 	 
78.60991512759769	-35.457354973416514	Tag 35	CDS/P/2MASS/color	05:14:26.37963	-35:27:26.4779	 	 
78.72986032551086	-35.49082511298242	Tag 36	CDS/P/2MASS/color	05:14:55.16648	-35:29:26.9704	 	 
78.92105930003939	-35.467705272450864	Tag 37	CDS/P/2MASS/color	05:15:41.05423	-35:28:03.7390	 	 
78.96131704132138	-35.581254829082575	Tag 38	CDS/P/2MASS/color	05:15:50.71609	-35:34:52.5174	 	 
79.12580966412818	-35.669071966849614	Tag 39	CDS/P/2MASS/color	05:16:30.19432	-35:40:08.6591	 	 
79.14381659300732	-35.54508488561928	Tag 40	CDS/P/2MASS/color	05:16:34.51598	-35:32:42.3056	 	 
78.98824814985004	-35.423910583481614	Tag 41	CDS/P/2MASS/color	05:15:57.17956	-35:25:26.0781	 	 
78.8136954842926	-35.33432180568481	Tag 42	CDS/P/2MASS/color	05:15:15.28692	-35:20:03.5585	 	 
78.66471434350206	-35.32395077137477	Tag 43	CDS/P/2MASS/color	05:14:39.53144	-35:19:26.2228	 	 
78.55080712884636	-35.31823244566007	Tag 44	CDS/P/2MASS/color	05:14:12.19371	-35:19:05.6368	 	 
78.60668236431691	-35.604322227274004	Tag 45	CDS/P/2MASS/color	05:14:25.60377	-35:36:15.5600	 	 
78.02007002877238	-35.53694202372624	Tag 46	CDS/P/2MASS/color	05:12:04.81681	-35:32:12.9913	 	 
78.09641489413566	-35.62955113476429	Tag 47	CDS/P/2MASS/color	05:12:23.13957	-35:37:46.3841	 	 
77.74961560940679	-35.60328551751284	Tag 48	CDS/P/2MASS/color	05:10:59.90775	-35:36:11.8279	 	 
77.47927513823095	-35.50281883935042	Tag 49	CDS/P/2MASS/color	05:09:55.02603	-35:30:10.1478	 	 
77.14690243278622	-35.35016836430004	Tag 50	CDS/P/2MASS/color	05:08:35.25658	-35:21:00.6061	 	 
77.15452083371424	-35.191971360351594	Tag 51	CDS/P/2MASS/color	05:08:37.08500	-35:11:31.0969	 	 
77.60850533030965	-35.188762234906285	Tag 52	CDS/P/2MASS/color	05:10:26.04128	-35:11:19.5440	 	 
77.84988949801539	-35.154607565284856	Tag 53	CDS/P/2MASS/color	05:11:23.97348	-35:09:16.5872	 	 
78.18199736174157	-35.20986316678152	Tag 54	CDS/P/2MASS/color	05:12:43.67937	-35:12:35.5074	 	 
78.57690188659338	-35.18336739736936	Tag 55	CDS/P/2MASS/color	05:14:18.45645	-35:11:00.1226	 	 
78.99690638740931	-35.24373598601904	Tag 56	CDS/P/2MASS/color	05:15:59.25753	-35:14:37.4495	 	 
79.00836095080622	-35.11201432410085	Tag 57	CDS/P/2MASS/color	05:16:02.00663	-35:06:43.2516	 	 
78.84730879400327	-35.04697392297491	Tag 58	CDS/P/2MASS/color	05:15:23.35411	-35:02:49.1061	 	 
