_RAJ2000	_DEJ2000	Label	Plan	RA (ICRS)	DE (ICRS)	X	Y
----------	----------	---------------	----------	-------------	-------------	--------	--------
78.91540071876804	-37.20570836725236	Tag 0	CDS/P/2MASS/color	05:15:39.69617	-37:12:20.5501	 	 
79.309905386094	-37.22838098711951	Tag 1	CDS/P/2MASS/color	05:17:14.37729	-37:13:42.1716	 	 
79.60937863063624	-37.23882334905843	Tag 2	CDS/P/2MASS/color	05:18:26.25087	-37:14:19.7641	 	 
79.87436955980657	-37.21022495669115	Tag 3	CDS/P/2MASS/color	05:19:29.84869	-37:12:36.8098	 	 
80.06460792081198	-37.17860217797452	Tag 4	CDS/P/2MASS/color	05:20:15.50590	-37:10:42.9678	 	 
80.2216455488279	-37.17151700142054	Tag 5	CDS/P/2MASS/color	05:20:53.19493	-37:10:17.4612	 	 
80.38202163239684	-37.04360482326523	Tag 6	CDS/P/2MASS/color	05:21:31.68519	-37:02:36.9774	 	 
80.4837835807385	-36.9332737723729	Tag 7	CDS/P/2MASS/color	05:21:56.10806	-36:55:59.7856	 	 
80.5127982434673	-36.7759132608445	Tag 8	CDS/P/2MASS/color	05:22:03.07158	-36:46:33.2877	 	 
80.36847226484166	-36.59783826437336	Tag 9	CDS/P/2MASS/color	05:21:28.43334	-36:35:52.2178	 	 
80.35956256651798	-36.735852663760866	Tag 10	CDS/P/2MASS/color	05:21:26.29502	-36:44:09.0696	 	 
80.22252632376686	-36.8508306139095	Tag 11	CDS/P/2MASS/color	05:20:53.40632	-36:51:02.9902	 	 
80.22704670805098	-36.98785105074095	Tag 12	CDS/P/2MASS/color	05:20:54.49121	-36:59:16.2638	 	 
80.0504074990558	-36.900915132646375	Tag 13	CDS/P/2MASS/color	05:20:12.09780	-36:54:03.2945	 	 
79.89775097398625	-37.01922749319851	Tag 14	CDS/P/2MASS/color	05:19:35.46023	-37:01:09.2190	 	 
79.6059605982705	-37.067064528824275	Tag 15	CDS/P/2MASS/color	05:18:25.43054	-37:04:01.4323	 	 
79.46277670534052	-37.098028570071584	Tag 16	CDS/P/2MASS/color	05:17:51.06641	-37:05:52.9029	 	 
79.31291924323719	-37.049320476389404	Tag 17	CDS/P/2MASS/color	05:17:15.10062	-37:02:57.5537	 	 
79.16111271386045	-37.16669522210647	Tag 18	CDS/P/2MASS/color	05:16:38.66705	-37:10:00.1028	 	 
79.01796577722101	-37.00069921137527	Tag 19	CDS/P/2MASS/color	05:16:04.31179	-37:00:02.5172	 	 
78.61656010758274	-36.98979206516142	Tag 20	CDS/P/2MASS/color	05:14:27.97443	-36:59:23.2514	 	 
78.71728623030933	-36.88735076465897	Tag 21	CDS/P/2MASS/color	05:14:52.14870	-36:53:14.4628	 	 
79.01591705888684	-36.825273396813635	Tag 22	CDS/P/2MASS/color	05:16:03.82009	-36:49:30.9842	 	 
78.55699569431955	-36.831216289414684	Tag 23	CDS/P/2MASS/color	05:14:13.67897	-36:49:52.3786	 	 
78.43612390299131	-36.67475786631513	Tag 24	CDS/P/2MASS/color	05:13:44.66974	-36:40:29.1283	 	 
78.54514059140098	-36.53599865711746	Tag 25	CDS/P/2MASS/color	05:14:10.83374	-36:32:09.5952	 	 
78.72183262962415	-36.49817286885045	Tag 26	CDS/P/2MASS/color	05:14:53.23983	-36:29:53.4223	 	 
79.00648213380484	-36.57671979660617	Tag 27	CDS/P/2MASS/color	05:16:01.55571	-36:34:36.1913	 	 
79.15337448050722	-36.7436609980903	Tag 28	CDS/P/2MASS/color	05:16:36.80988	-36:44:37.1796	 	 
79.43032292687931	-36.786441949110625	Tag 29	CDS/P/2MASS/color	05:17:43.27750	-36:47:11.1910	 	 
79.70750798274118	-36.76919476277009	Tag 30	CDS/P/2MASS/color	05:18:49.80192	-36:46:09.1011	 	 
80.06372773472887	-36.63865832736363	Tag 31	CDS/P/2MASS/color	05:20:15.29466	-36:38:19.1700	 	 
78.61421297824496	-36.338254339089715	Tag 32	CDS/P/2MASS/color	05:14:27.41111	-36:20:17.7156	 	 
