UCAC4 RA DEC MAG_R Vmag pmRA pmDE
274-006314 78.7991127 -35.3931956 12.626 12.643 -0.6 -10.8
268-006403 78.2873309 -36.499867 11.439 11.557 9.4 -20.5
274-006320 78.8216839 -35.3143098 12.736 12.868 8.8 4.2
268-006529 79.2385327 -36.551105 12.108 12.224 -6.2 10.2
267-006022 78.9737024 -36.7452225 11.272 11.534 8.9 19.3
276-006301 79.0837512 -34.895815 12.869 12.989 11.9 6.0
272-006329 79.3848698 -35.6585573 12.333 12.452 2.3 1.6
269-006026 78.76309 -36.3939967 12.824 13.0 -2.8 -2.3
270-006326 79.28169 -36.1375589 11.713 11.816 12.0 1.9
275-006440 79.4423812 -35.0807184 12.587 12.701 1.1 5.4
272-006076 77.8146392 -35.7044456 11.851 12.163 11.8 9.7
272-006287 79.168668 -35.7946273 10.761 11.179 1.4 0.6
271-006310 79.4719924 -35.9973837 12.066 12.16 0.1 2.6
268-006505 79.0783642 -36.4818703 12.329 12.48 -4.6 -5.2
270-006132 77.9404 -36.1943878 12.313 12.542 -23.5 9.3
274-006256 78.4759395 -35.2952484 12.142 12.348 15.5 17.1
274-006460 79.7222139 -35.2001303 12.79 12.906 -5.3 -2.1
272-006174 78.4357565 -35.6553037 12.32 12.407 3.1 16.4
274-006236 78.3471856 -35.2892459 11.161 11.267 -3.6 1.0
270-006381 79.5312733 -36.1714928 12.588 12.718 13.9 -17.6
269-005929 78.0902498 -36.2167139 11.392 11.709 -3.0 2.9
275-006446 79.487938 -35.1874492 12.292 12.457 -0.9 20.8
273-006456 79.1339095 -35.4110673 11.766 11.847 10.0 11.9
273-006532 79.4502612 -35.5562684 11.799 12.097 3.6 3.4
271-006333 79.6082889 -35.8309673 12.033 12.347 -3.7 4.1
273-006313 78.1172621 -35.4370539 11.177 11.301 18.1 20.0
269-006002 78.6236577 -36.3784987 11.964 12.254 13.6 1.3
