UCAC4 RA DEC MAG_R Vmag pmRA pmDE
271-006058 77.6891074 -35.910497 12.842 12.984 7.5 3.0
277-006244 78.1757886 -34.626245 12.661 12.794 -1.6 5.8
269-005934 78.1215962 -36.3121159 12.663 12.984 11.4 5.6
276-006071 77.4824998 -34.9755367 11.169 11.279 5.7 -5.9
270-006132 77.9404 -36.1943878 12.313 12.542 -23.5 9.3
273-006399 78.7337277 -35.4295573 12.695 12.863 -4.3 -18.4
276-006150 78.0985262 -34.8215639 12.163 12.257 1.3 -5.4
274-006140 77.6932445 -35.2887584 12.804 12.978 6.8 -0.1
274-006142 77.7033239 -35.2527625 11.608 11.728 1.3 -1.0
268-006403 78.2873309 -36.499867 11.439 11.557 9.4 -20.5
271-006022 77.4327427 -35.986267 12.508 12.638 14.8 -9.5
274-006314 78.7991127 -35.3931956 12.626 12.643 -0.6 -10.8
276-006147 78.0901868 -34.8650678 12.609 12.773 11.2 -4.3
272-006076 77.8146392 -35.7044456 11.851 12.163 11.8 9.7
268-006321 77.6864689 -36.4927225 11.166 11.215 7.5 16.0
271-006023 77.4346474 -35.8876989 12.881 12.838 11.3 2.0
270-006286 78.9588009 -36.1403689 11.28 11.575 2.1 -7.1
277-006206 77.9455765 -34.7709684 12.523 12.647 -1.5 10.8
269-005929 78.0902498 -36.2167139 11.392 11.709 -3.0 2.9
275-006157 77.543038 -35.0782964 11.52 11.836 1.3 7.2
270-006083 77.5310106 -36.06014 12.656 12.824 -0.5 13.2
275-006229 78.0558215 -35.0824281 11.79 11.883 17.2 7.0
269-005863 77.5072236 -36.3676212 12.421 12.617 19.9 -6.2
272-005978 77.1811783 -35.7088617 12.731 12.894 -22.6 8.5
