UCAC4 RA DEC MAG_R Vmag pmRA pmDE
274-006314 78.7991127 -35.3931956 12.626 12.643 -0.6 -10.8
268-006403 78.2873309 -36.499867 11.439 11.557 9.4 -20.5
274-006320 78.8216839 -35.3143098 12.736 12.868 8.8 4.2
268-006529 79.2385327 -36.551105 12.108 12.224 -6.2 10.2
267-006022 78.9737024 -36.7452225 11.272 11.534 8.9 19.3
276-006301 79.0837512 -34.895815 12.869 12.989 11.9 6.0
272-006329 79.3848698 -35.6585573 12.333 12.452 2.3 1.6
269-006026 78.76309 -36.3939967 12.824 13.0 -2.8 -2.3
270-006326 79.28169 -36.1375589 11.713 11.816 12.0 1.9
275-006440 79.4423812 -35.0807184 12.587 12.701 1.1 5.4
272-006076 77.8146392 -35.7044456 11.851 12.163 11.8 9.7
272-006287 79.168668 -35.7946273 10.761 11.179 1.4 0.6
271-006310 79.4719924 -35.9973837 12.066 12.16 0.1 2.6
268-006505 79.0783642 -36.4818703 12.329 12.48 -4.6 -5.2
270-006132 77.9404 -36.1943878 12.313 12.542 -23.5 9.3
274-006256 78.4759395 -35.2952484 12.142 12.348 15.5 17.1
274-006460 79.7222139 -35.2001303 12.79 12.906 -5.3 -2.1
272-006174 78.4357565 -35.6553037 12.32 12.407 3.1 16.4
274-006236 78.3471856 -35.2892459 11.161 11.267 -3.6 1.0
270-006381 79.5312733 -36.1714928 12.588 12.718 13.9 -17.6
269-005929 78.0902498 -36.2167139 11.392 11.709 -3.0 2.9
275-006446 79.487938 -35.1874492 12.292 12.457 -0.9 20.8
273-006456 79.1339095 -35.4110673 11.766 11.847 10.0 11.9
273-006532 79.4502612 -35.5562684 11.799 12.097 3.6 3.4
271-006333 79.6082889 -35.8309673 12.033 12.347 -3.7 4.1
273-006313 78.1172621 -35.4370539 11.177 11.301 18.1 20.0
269-006002 78.6236577 -36.3784987 11.964 12.254 13.6 1.3
271-006058 77.6891074 -35.910497 12.842 12.984 7.5 3.0
277-006244 78.1757886 -34.626245 12.661 12.794 -1.6 5.8
269-005934 78.1215962 -36.3121159 12.663 12.984 11.4 5.6
276-006071 77.4824998 -34.9755367 11.169 11.279 5.7 -5.9
270-006132 77.9404 -36.1943878 12.313 12.542 -23.5 9.3
273-006399 78.7337277 -35.4295573 12.695 12.863 -4.3 -18.4
276-006150 78.0985262 -34.8215639 12.163 12.257 1.3 -5.4
274-006140 77.6932445 -35.2887584 12.804 12.978 6.8 -0.1
274-006142 77.7033239 -35.2527625 11.608 11.728 1.3 -1.0
268-006403 78.2873309 -36.499867 11.439 11.557 9.4 -20.5
271-006022 77.4327427 -35.986267 12.508 12.638 14.8 -9.5
274-006314 78.7991127 -35.3931956 12.626 12.643 -0.6 -10.8
276-006147 78.0901868 -34.8650678 12.609 12.773 11.2 -4.3
272-006076 77.8146392 -35.7044456 11.851 12.163 11.8 9.7
268-006321 77.6864689 -36.4927225 11.166 11.215 7.5 16.0
271-006023 77.4346474 -35.8876989 12.881 12.838 11.3 2.0
270-006286 78.9588009 -36.1403689 11.28 11.575 2.1 -7.1
277-006206 77.9455765 -34.7709684 12.523 12.647 -1.5 10.8
269-005929 78.0902498 -36.2167139 11.392 11.709 -3.0 2.9
275-006157 77.543038 -35.0782964 11.52 11.836 1.3 7.2
270-006083 77.5310106 -36.06014 12.656 12.824 -0.5 13.2
275-006229 78.0558215 -35.0824281 11.79 11.883 17.2 7.0
269-005863 77.5072236 -36.3676212 12.421 12.617 19.9 -6.2
272-005978 77.1811783 -35.7088617 12.731 12.894 -22.6 8.5
271-006250 79.069538 -35.9361925 11.431 11.815 5.2 2.4
270-006346 79.3602012 -36.1611556 11.334 11.456 7.8 12.0
268-006618 79.9748759 -36.4057631 12.195 12.325 6.9 14.0
270-006450 79.9739892 -36.1050428 12.126 12.281 17.2 6.0
270-006438 79.9139274 -36.1600584 11.535 11.636 6.7 21.9
265-006346 78.7721806 -37.1060828 11.935 12.054 5.3 -13.6
264-006290 79.4220777 -37.2761237 12.649 12.81 -3.1 -11.5
269-006026 78.76309 -36.3939967 12.824 13.0 -2.8 -2.3
270-006326 79.28169 -36.1375589 11.713 11.816 12.0 1.9
270-006357 79.4130836 -36.1093842 12.49 12.887 0.9 2.7
268-006505 79.0783642 -36.4818703 12.329 12.48 -4.6 -5.2
265-006338 78.7207862 -37.1482775 12.595 12.93 -0.9 2.3
270-006460 80.0293271 -36.1623684 12.34 12.355 18.2 -23.4
268-006657 80.2435939 -36.5730673 12.778 12.908 -9.8 15.9
272-006297 79.250768 -35.6006673 11.33 11.406 5.2 7.2
265-006440 79.3797595 -37.1628284 12.353 12.36 -1.3 -4.6
273-006580 79.82635 -35.4730592 12.539 12.683 10.7 -13.0
271-006186 78.6491624 -35.9037356 11.315 11.332 -2.7 -3.0
267-006056 79.2244436 -36.7960139 11.915 12.077 -4.5 -20.7
264-006238 79.0780995 -37.2963456 12.843 12.952 5.8 -4.4
266-006505 79.3231512 -36.8722442 12.813 12.999 5.8 13.9
267-006158 79.9289824 -36.7984039 12.266 12.538 -3.3 6.9
266-006571 79.8284771 -36.9435345 11.645 11.95 -5.4 4.7
272-006363 79.6755124 -35.6521817 12.501 12.761 2.5 -9.9
266-006536 79.5431583 -36.9899459 11.009 11.287 -0.1 22.9
268-006696 80.5170795 -36.4981373 12.267 12.643 4.7 -9.8
270-006237 78.5644239 -36.021722 12.204 12.631 -5.1 0.7
