UCAC4 RA DEC MAG_R Vmag pmRA pmDE
271-006250 79.069538 -35.9361925 11.431 11.815 5.2 2.4
270-006346 79.3602012 -36.1611556 11.334 11.456 7.8 12.0
268-006618 79.9748759 -36.4057631 12.195 12.325 6.9 14.0
270-006450 79.9739892 -36.1050428 12.126 12.281 17.2 6.0
270-006438 79.9139274 -36.1600584 11.535 11.636 6.7 21.9
265-006346 78.7721806 -37.1060828 11.935 12.054 5.3 -13.6
264-006290 79.4220777 -37.2761237 12.649 12.81 -3.1 -11.5
269-006026 78.76309 -36.3939967 12.824 13.0 -2.8 -2.3
270-006326 79.28169 -36.1375589 11.713 11.816 12.0 1.9
270-006357 79.4130836 -36.1093842 12.49 12.887 0.9 2.7
268-006505 79.0783642 -36.4818703 12.329 12.48 -4.6 -5.2
265-006338 78.7207862 -37.1482775 12.595 12.93 -0.9 2.3
270-006460 80.0293271 -36.1623684 12.34 12.355 18.2 -23.4
268-006657 80.2435939 -36.5730673 12.778 12.908 -9.8 15.9
272-006297 79.250768 -35.6006673 11.33 11.406 5.2 7.2
265-006440 79.3797595 -37.1628284 12.353 12.36 -1.3 -4.6
273-006580 79.82635 -35.4730592 12.539 12.683 10.7 -13.0
271-006186 78.6491624 -35.9037356 11.315 11.332 -2.7 -3.0
267-006056 79.2244436 -36.7960139 11.915 12.077 -4.5 -20.7
264-006238 79.0780995 -37.2963456 12.843 12.952 5.8 -4.4
266-006505 79.3231512 -36.8722442 12.813 12.999 5.8 13.9
267-006158 79.9289824 -36.7984039 12.266 12.538 -3.3 6.9
266-006571 79.8284771 -36.9435345 11.645 11.95 -5.4 4.7
272-006363 79.6755124 -35.6521817 12.501 12.761 2.5 -9.9
266-006536 79.5431583 -36.9899459 11.009 11.287 -0.1 22.9
268-006696 80.5170795 -36.4981373 12.267 12.643 4.7 -9.8
270-006237 78.5644239 -36.021722 12.204 12.631 -5.1 0.7
